region_code;time;region_name;Electricity demand
ZA;2023-01-01 00:00:00;South Africa;20647.699000000
ZA;2023-01-01 01:00:00;South Africa;19963.180000000
ZA;2023-01-01 02:00:00;South Africa;19354.487000000
ZA;2023-01-01 03:00:00;South Africa;19064.915000000
ZA;2023-01-01 04:00:00;South Africa;18979.814000000
ZA;2023-01-01 05:00:00;South Africa;19050.408000000
ZA;2023-01-01 06:00:00;South Africa;19645.320000000
ZA;2023-01-01 07:00:00;South Africa;20885.546000000
ZA;2023-01-01 08:00:00;South Africa;22169.413000000
ZA;2023-01-01 09:00:00;South Africa;23031.669000000
ZA;2023-01-01 10:00:00;South Africa;23632.593000000
ZA;2023-01-01 11:00:00;South Africa;23651.941000000
ZA;2023-01-01 12:00:00;South Africa;23484.630000000
ZA;2023-01-01 13:00:00;South Africa;23070.400000000
ZA;2023-01-01 14:00:00;South Africa;22550.982000000
ZA;2023-01-01 15:00:00;South Africa;22201.700000000
ZA;2023-01-01 16:00:00;South Africa;22286.848000000
ZA;2023-01-01 17:00:00;South Africa;22129.989000000
ZA;2023-01-01 18:00:00;South Africa;22799.702000000
ZA;2023-01-01 19:00:00;South Africa;23834.207000000
ZA;2023-01-01 20:00:00;South Africa;23698.986000000
ZA;2023-01-01 21:00:00;South Africa;22182.059000000
ZA;2023-01-01 22:00:00;South Africa;20962.572000000
ZA;2023-01-01 23:00:00;South Africa;20087.457000000
ZA;2023-01-02 00:00:00;South Africa;18744.562000000
ZA;2023-01-02 01:00:00;South Africa;18336.440000000
ZA;2023-01-02 02:00:00;South Africa;18272.642000000
ZA;2023-01-02 03:00:00;South Africa;18122.072000000
ZA;2023-01-02 04:00:00;South Africa;18395.054000000
ZA;2023-01-02 05:00:00;South Africa;18732.621000000
ZA;2023-01-02 06:00:00;South Africa;19409.925000000
ZA;2023-01-02 07:00:00;South Africa;20834.654000000
ZA;2023-01-02 08:00:00;South Africa;22138.471000000
ZA;2023-01-02 09:00:00;South Africa;23155.379000000
ZA;2023-01-02 10:00:00;South Africa;23589.401000000
ZA;2023-01-02 11:00:00;South Africa;24171.752000000
ZA;2023-01-02 12:00:00;South Africa;24076.139000000
ZA;2023-01-02 13:00:00;South Africa;23725.342000000
ZA;2023-01-02 14:00:00;South Africa;23417.468000000
ZA;2023-01-02 15:00:00;South Africa;23304.260000000
ZA;2023-01-02 16:00:00;South Africa;23361.604000000
ZA;2023-01-02 17:00:00;South Africa;23644.552000000
ZA;2023-01-02 18:00:00;South Africa;24074.276000000
ZA;2023-01-02 19:00:00;South Africa;25086.468000000
ZA;2023-01-02 20:00:00;South Africa;24543.528000000
ZA;2023-01-02 21:00:00;South Africa;22900.234000000
ZA;2023-01-02 22:00:00;South Africa;21232.358000000
ZA;2023-01-02 23:00:00;South Africa;19977.484000000
ZA;2023-01-03 00:00:00;South Africa;19650.946000000
ZA;2023-01-03 01:00:00;South Africa;19261.347000000
ZA;2023-01-03 02:00:00;South Africa;19046.763000000
ZA;2023-01-03 03:00:00;South Africa;19122.421000000
ZA;2023-01-03 04:00:00;South Africa;19702.467000000
ZA;2023-01-03 05:00:00;South Africa;20547.350000000
ZA;2023-01-03 06:00:00;South Africa;21514.679000000
ZA;2023-01-03 07:00:00;South Africa;22922.959000000
ZA;2023-01-03 08:00:00;South Africa;24404.841000000
ZA;2023-01-03 09:00:00;South Africa;24773.207000000
ZA;2023-01-03 10:00:00;South Africa;25232.164000000
ZA;2023-01-03 11:00:00;South Africa;25481.001000000
ZA;2023-01-03 12:00:00;South Africa;25292.502000000
ZA;2023-01-03 13:00:00;South Africa;25176.646000000
ZA;2023-01-03 14:00:00;South Africa;25496.438000000
ZA;2023-01-03 15:00:00;South Africa;25690.239000000
ZA;2023-01-03 16:00:00;South Africa;25954.485000000
ZA;2023-01-03 17:00:00;South Africa;26023.396000000
ZA;2023-01-03 18:00:00;South Africa;26075.940000000
ZA;2023-01-03 19:00:00;South Africa;26612.049000000
ZA;2023-01-03 20:00:00;South Africa;25743.684000000
ZA;2023-01-03 21:00:00;South Africa;23865.108000000
ZA;2023-01-03 22:00:00;South Africa;22382.977000000
ZA;2023-01-03 23:00:00;South Africa;21313.351000000
ZA;2023-01-04 00:00:00;South Africa;20713.947000000
ZA;2023-01-04 01:00:00;South Africa;20435.436000000
ZA;2023-01-04 02:00:00;South Africa;20204.869000000
ZA;2023-01-04 03:00:00;South Africa;20248.937000000
ZA;2023-01-04 04:00:00;South Africa;20754.029000000
ZA;2023-01-04 05:00:00;South Africa;21745.941000000
ZA;2023-01-04 06:00:00;South Africa;22703.759000000
ZA;2023-01-04 07:00:00;South Africa;23852.681000000
ZA;2023-01-04 08:00:00;South Africa;25513.044000000
ZA;2023-01-04 09:00:00;South Africa;26023.089000000
ZA;2023-01-04 10:00:00;South Africa;26078.122000000
ZA;2023-01-04 11:00:00;South Africa;26110.094000000
ZA;2023-01-04 12:00:00;South Africa;26255.914000000
ZA;2023-01-04 13:00:00;South Africa;26125.173000000
ZA;2023-01-04 14:00:00;South Africa;26125.184000000
ZA;2023-01-04 15:00:00;South Africa;26629.703000000
ZA;2023-01-04 16:00:00;South Africa;26954.287000000
ZA;2023-01-04 17:00:00;South Africa;26866.975000000
ZA;2023-01-04 18:00:00;South Africa;27169.054000000
ZA;2023-01-04 19:00:00;South Africa;27696.460000000
ZA;2023-01-04 20:00:00;South Africa;26452.935000000
ZA;2023-01-04 21:00:00;South Africa;24632.435000000
ZA;2023-01-04 22:00:00;South Africa;22975.133000000
ZA;2023-01-04 23:00:00;South Africa;21616.140000000
ZA;2023-01-05 00:00:00;South Africa;21169.640000000
ZA;2023-01-05 01:00:00;South Africa;20824.388000000
ZA;2023-01-05 02:00:00;South Africa;20779.088000000
ZA;2023-01-05 03:00:00;South Africa;20711.651000000
ZA;2023-01-05 04:00:00;South Africa;21244.958000000
ZA;2023-01-05 05:00:00;South Africa;22223.025000000
ZA;2023-01-05 06:00:00;South Africa;23276.569000000
ZA;2023-01-05 07:00:00;South Africa;24482.311000000
ZA;2023-01-05 08:00:00;South Africa;26038.874000000
ZA;2023-01-05 09:00:00;South Africa;26736.044000000
ZA;2023-01-05 10:00:00;South Africa;27100.038000000
ZA;2023-01-05 11:00:00;South Africa;27107.990000000
ZA;2023-01-05 12:00:00;South Africa;27189.258000000
ZA;2023-01-05 13:00:00;South Africa;27322.267000000
ZA;2023-01-05 14:00:00;South Africa;27328.063000000
ZA;2023-01-05 15:00:00;South Africa;27550.518000000
ZA;2023-01-05 16:00:00;South Africa;27883.624000000
ZA;2023-01-05 17:00:00;South Africa;28070.152000000
ZA;2023-01-05 18:00:00;South Africa;28082.029000000
ZA;2023-01-05 19:00:00;South Africa;28276.109000000
ZA;2023-01-05 20:00:00;South Africa;27342.502000000
ZA;2023-01-05 21:00:00;South Africa;25306.713000000
ZA;2023-01-05 22:00:00;South Africa;23648.714000000
ZA;2023-01-05 23:00:00;South Africa;22400.895000000
ZA;2023-01-06 00:00:00;South Africa;21682.677000000
