rel_path,size_bytes,suffix,kind,in_min_coverage,classification
data/bundle/renewable_profiles_updated.nc,715101674,.nc,netcdf,True,covered
networks/ME IRP 2024/base/capacity-IRP_H12_CL_RM10_FULL.nc,3872189,.nc,netcdf,False,audit_only
networks/ME IRP 2024/base/capacity-IRP_REF_CI.nc,3872189,.nc,netcdf,False,audit_only
networks/ME IRP 2024/elec/capacity-IRP_H12_CL_RM10_FULL.nc,378958916,.nc,netcdf,False,audit_only
pre_processing/outages/outages.ipynb,124397,.ipynb,notebook,False,audit_only
pre_processing/resource_processing/convert_excel_to_netcdf.ipynb,26171,.ipynb,notebook,False,audit_only
pre_processing/resource_processing/plotting.ipynb,449476,.ipynb,notebook,False,audit_only
pre_processing/resource_processing/prepare_availability_matrix.ipynb,632298,.ipynb,notebook,False,audit_only
pre_processing/resource_processing/prepare_extendable_solar_pv.ipynb,18919,.ipynb,notebook,False,audit_only
pre_processing/resource_processing/prepare_extendable_wind.ipynb,63132,.ipynb,notebook,False,audit_only
pre_processing/resource_processing/prepare_fixed_solar_pv.ipynb,36966,.ipynb,notebook,False,audit_only
pre_processing/resource_processing/prepare_fixed_wind.ipynb,42591,.ipynb,notebook,False,audit_only
pre_processing/resource_processing/prepare_single_resource_file.ipynb,121848,.ipynb,notebook,False,audit_only
pre_processing/resource_processing/prepare_wasa_timeseries.ipynb,307758,.ipynb,notebook,False,audit_only
data/bundle/SALandCover_OriginalUTM35North_2013_GTI_72Classes/sa_lcov_2013-14_gti_utm35n_vs22b.tif,4083281806,.tif,raster,False,audit_only
data/bundle/ZAF_wind-speed_100m.tif,81105685,.tif,raster,True,covered
.snakemake/scripts/tmpor4uwofl.prepare_and_solve_network.py,26519,.py,script,False,audit_only
docs/archive/conf.py,10660,.py,script,False,audit_only
docs/conf.py,10409,.py,script,False,audit_only
pre_processing/resource_processing/_helpers.py,12969,.py,script,False,audit_only
scripts/_helpers.py,42530,.py,script,True,covered
scripts/add_electricity.py,76226,.py,script,True,covered
scripts/build_topology.py,16143,.py,script,True,covered
scripts/custom_constraints.py,16807,.py,script,True,covered
scripts/prepare_and_solve_network.py,24848,.py,script,True,covered
data/bundle/11-supply.shp,4798988,.shp,spatial,False,audit_only
data/bundle/CSIR/Mesozones/Mesozones.shp,30889536,.shp,spatial,False,audit_only
data/bundle/Existing_Lines.shp,1326556,.shp,spatial,True,covered
data/bundle/GCCA 2025 GIS/AREAS_GCCA2025.gpkg,15335424,.gpkg,spatial,True,covered
data/bundle/GCCA 2025 GIS/LOCAL_AREA_GCCA2025.shp,4898336,.shp,spatial,True,covered
data/bundle/GCCA 2025 GIS/MTS_ZONES_GCCA2025.shp,4939424,.shp,spatial,True,covered
data/bundle/GCCA 2025 GIS/SUPPLY_AREA_GCCA2025.shp,4881552,.shp,spatial,True,covered
data/bundle/Phase2_REDZs/PHASE 2_REDZs.shp,142480,.shp,spatial,False,audit_only
data/bundle/Power_corridors/Power_corridors.shp,1036880,.shp,spatial,False,audit_only
data/bundle/REDZ_DEA_Unpublished_Draft_2015/REDZ_DEA_Unpublished_Draft_2015.shp,471988,.shp,spatial,False,audit_only
data/bundle/RSA.shp,4864904,.shp,spatial,False,audit_only
data/bundle/SACAD_OR_2023_Q3.shp,1674696,.shp,spatial,True,covered
data/bundle/SAPAD_OR_2023_Q3.shp,7764848,.shp,spatial,True,covered
data/bundle/Shapefiles/Existing_Lines.shp,1711652,.shp,spatial,True,covered
data/bundle/Shapefiles/Planned_Lines.shp,163972,.shp,spatial,True,covered
data/bundle/Shapefiles/Supply_Areas2022_Steady_State_Limit.shp,3963032,.shp,spatial,False,audit_only
data/bundle/TDP_2023_32.shp,66564,.shp,spatial,True,covered
data/bundle/supply_regions/rsa_supply_regions.gpkg,19918848,.gpkg,spatial,True,covered
data/bundle/supply_regions/rsa_supply_regions2.gpkg,20615168,.gpkg,spatial,True,covered
data/bundle/transmission_grid/eskom_gcca_2022/Existing_Lines.shp,1711652,.shp,spatial,True,covered
data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,66564,.shp,spatial,True,covered
data/bundle/SystemEnergy2009_22.csv,4894211,.csv,tabular,True,covered
data/eskom_data.csv,12701713,.csv,tabular,True,covered
