rel_path,kind,role,feature_count,layers,hash,present
data/bundle/supply_regions/rsa_supply_regions.gpkg,gpkg,supply_regions,231,1|27|10|34|159,eacd403aaf70ea1eba71f3545689e4b49a25a45ca9e561ba44654c452f68bf82,True
data/bundle/supply_regions/rsa_supply_regions2.gpkg,gpkg,supply_regions,231,1|27|10|34|159,6f1bb146bbad44ab9c1f475c92c302a6be48c5c71ad96a5347540a5dc65e4ffc,True
data/bundle/GCCA 2025 GIS/AREAS_GCCA2025.gpkg,gpkg,gcca_2025,206,LOCAL_AREA_GCCA2025|MTS_ZONES_GCCA2025|SUPPLY_AREA_GCCA2025|layer_styles,fb00bbf77809acda981a982384aadc389c5ca6b40205fde670049fa8f0a94066,True
data/bundle/GCCA 2025 GIS/SUPPLY_AREA_GCCA2025.shp,shp,gcca_2025,10,,3fb8c39f3f2bea9a4f8e6ba1bd4f927df8987d1547f669d021a167fe3a425c9a,True
data/bundle/GCCA 2025 GIS/LOCAL_AREA_GCCA2025.shp,shp,gcca_2025,34,,28c59160cfa3773be291f1a2c10456fdbe80bf430b8960c24f86340690fcf393,True
data/bundle/GCCA 2025 GIS/MTS_ZONES_GCCA2025.shp,shp,gcca_2025,159,,c8e209587e5d609a916f5bf976d9c1c12f37bf80c00221c1f381652465c6c33b,True
data/bundle/Shapefiles/Existing_Lines.shp,shp,existing_lines,348,,244d42fb098ed61f4feb91ab4ef31c7dc12eae68b7d2ae28e541be7b6d3bcfc8,True
data/bundle/Shapefiles/Planned_Lines.shp,shp,planned_lines,96,,e8a071b396e7bdc15a6563d9d4bb0452308f475d53f8c15e252eae021cfa2367,True
data/bundle/Shapefiles/Existing_Substations.shp,shp,substations,18,,d73c8dcb469ef919d2e4204695f2993578c57339eef37710e3bf66ab2b66ec26,True
data/bundle/Shapefiles/Planned_Substations.shp,shp,substations,24,,d48bf7f5aac5f0873abecb87b38c07034fe85edb6713e9d476fd525b9ecaec9a,True
data/bundle/Shapefiles/Supply_Areas2022_Steady_State_Limit.shp,shp,supply_area_limits,30,,ba842959074f898d21f26d2b98af66d515e97132761e6a8ac89e601be7908967,True
data/bundle/Shapefiles/MTS_Subs2022.shp,shp,mts_subs,198,,6496e969730a940c24916e7d8eabce6b5b3ca001b1d3e9abd21b445da4d0f8a1,True
data/bundle/Shapefiles/RE_IPP_1_to_4b.shp,shp,reipppp_siting,98,,92b643d6ba8f79b9dc5585451f76621e5c5282cc6c8b8c368ead2a7bb8c31d8c,True
data/bundle/transmission_grid/eskom_gcca_2022/Existing_Lines.shp,shp,existing_lines_deeper,348,,244d42fb098ed61f4feb91ab4ef31c7dc12eae68b7d2ae28e541be7b6d3bcfc8,True
data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,shp,planned_tdp,102,,3836bc4ce99523968de70f60288ec8ce347b2f4440a6fbec0d9e6a460d3a67b7,True
