scenario_set,sheet,Scenario,Power Station Name,Grouping,Carrier,Unit size (MW),Number units,Capacity (MW),Commissioning Date,Decommissioning Date,Heat Rate (GJ/MWh),CO2 Emissions (kgCO2/MWh),Fuel Price (R/GJ),Max Ramp Up (%/h),Max Ramp Down (%/h),Max Ramp Start Up (%/h),Max Ramp Shut Down (%/h),Min Stable Level (%),Min Up Time (h),Min Down Time (h),Variable O&M Cost (R/MWh),Fixed O&M Cost (R/kW/yr),Unit Start Up Cost (R),Start Up Cost (R),Shut Down Cost (R),GPS Latitude,GPS Longitude,Model Key,PV Mounting,PV DC-AC Ratio,Wind Hub Height,CSP Storage Hours,Round Trip Efficiency (%),Max Storage (GWh),Max Storage (hours),scenario,station_name,grouping,carrier,dispatch_committable,unit_size (MW),number_units,capacity (MW),commissioning_date,decommissioning_date,avg_heat_rate (GJ/MWh),marginal_heat_rate (GJ/MWh),no_load_heat_rate (GJ/h),co2_emissions_input (kgCO2/GJ),co2_emissions_output (kgCO2/MWh),fuel_price (R/GJ),max_ramp_up (%/h),max_ramp_down (%/h),max_ramp_start_up (%/h),max_ramp_shut_down (%/h),min_stable_level (%),min_up_time (h),min_down_time (h),variable_om_cost (R/MWh),fixed_om_cost (R/kW/yr),unit_start_cost (R),start_up_cost (R),shut_down_cost (R),gps_lat,gps_lon,comments,model_key,pv_mounting,pv_dc_ac_ratio,wind_hub_height,csp_storage_hours,round_trip_efficiency (%),storage_energy (GWh),storage_hours,commissioning_year,decommissioning_year,included_2023
ME IRP 2024,conventional,BASE,Arnot*,eskom,coal,350.0,3.0,1050.0,-,2027,12.744,1047.0,45.18,0.345,0.345,0.1725,0.1725,0.65,48.0,48.0,88.3663253697383,1176.01639590444,48745.6446678271,146236.9340034813,0.0,-25.94444,29.79166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027.0,False
ME IRP 2024,conventional,BASE,Arnot**,eskom,coal,350.0,3.0,1050.0,-,2029,12.995,1047.0,45.18,0.345,0.345,0.1725,0.1725,0.65,0.0,0.0,88.3663253697383,1176.01639590444,48745.6446678271,146236.9340034813,0.0,-25.94444,29.79166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2029.0,False
ME IRP 2024,conventional,BASE,Camden*,eskom,coal,190.0,3.0,570.0,-,2024,13.584,1116.0,45.18,0.178378378378378,0.178378378378378,0.089189189189189,0.089189189189189,0.0,0.0,0.0,88.3663253697383,1577.42478498294,18773.643629124,56320.930887372,0.0,-26.62007,30.09113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0,False
ME IRP 2024,conventional,BASE,Camden**,eskom,coal,182.2,5.0,911.0,-,2025,14.28,1116.0,45.18,0.178378378378378,0.178378378378378,0.089189189189189,0.089189189189189,0.0,0.0,0.0,88.3663253697383,1577.42478498294,18773.643629124,93868.21814561999,0.0,-26.62007,30.09113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,False
ME IRP 2024,conventional,BASE,Duvha*,eskom,coal,575.0,2.0,1150.0,-,2033,12.066,991.0,45.18,0.4,0.4,0.2,0.2,0.65,0.0,0.0,88.3663253697383,1126.42919681456,91694.3754266212,183388.7508532424,0.0,-25.95954,29.34094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2033.0,False
ME IRP 2024,conventional,BASE,Duvha**,eskom,coal,575.0,3.0,1725.0,-,2034,12.066,991.0,45.18,0.4,0.4,0.2,0.2,0.65,0.0,0.0,88.3663253697383,1126.42919681456,91694.3754266212,275083.12627986365,0.0,-25.95954,29.34094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2034.0,False
ME IRP 2024,conventional,BASE,Grootvlei*,eskom,coal,190.0,2.0,380.0,-,2026,13.79,1133.0,45.18,0.167,0.167,0.0835,0.0835,0.65,0.0,0.0,88.3663253697383,1175.97905802048,23714.1198372924,47428.2396745848,0.0,-26.76955,28.49951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026.0,False
ME IRP 2024,conventional,BASE,Grootvlei**,eskom,coal,190.0,1.0,190.0,-,2027,12.744,1133.0,45.18,0.167,0.167,0.0835,0.0835,0.65,48.0,48.0,88.3663253697383,1175.97905802048,23714.1198372924,23714.1198372924,0.0,-26.76955,28.49951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027.0,False
ME IRP 2024,conventional,BASE,Hendrina*,eskom,coal,190.0,4.0,760.0,-,2024,13.266,1090.0,45.18,0.333,0.333,0.1665,0.1665,0.0,0.0,0.0,88.3663253697383,1175.98403640501,15018.9149032992,60075.6596131968,0.0,-26.03138,29.60138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0,False
ME IRP 2024,conventional,BASE,Hendrina**,eskom,coal,169.0,2.0,338.0,-,2025,14.28,1090.0,45.18,0.333,0.333,0.1665,0.1665,0.65,0.0,0.0,88.3663253697383,1175.98403640501,15018.9149032992,30037.8298065984,0.0,-26.62007,30.09113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,False
