Date Time Hour Beginning,Original Res Forecast before Lockdown,Residual Forecast,RSA Contracted Forecast,Dispatchable Generation,Residual Demand,RSA Contracted Demand,International Exports,International Imports,Thermal Generation,Nuclear Generation,Eskom Gas Generation,Eskom OCGT Generation,Hydro Water Generation,Pumped Water Generation,ILS Usage,Manual Load_Reduction(MLR),IOS Excl ILS and MLR,Dispatchable IPP OCGT,Eskom Gas SCO,Eskom OCGT SCO,Hydro Water SCO,Pumped Water SCO Pumping,Wind,PV,CSP,Other RE,Total RE,Wind Installed Capacity,PV Installed Capacity,CSP Installed Capacity,Other RE Installed Capacity,Total RE Installed Capacity,Installed Eskom Capacity,Total PCLF,Total UCLF,Total OCLF,Total UCLF+OCLF,Non Comm Sentout,Drakensberg Gen Unit Hours,Palmiet Gen Unit Hours,Ingula Gen Unit Hours
2022-12-01 12:00:00 AM,23709.692,21451.509,22383.614,20174.668,21273.662,22460.971,1407.443,1292.0,18656.0,1613.0,0.0,0.0,607.0,0.0,0.0,1098.995,0.0,0.0,-1.0,-3.333,0.0,-1989.0,1122.962,0.0,29.161,35.186,1187.309,3442.57,2212.09,500.0,50.58,6205.24,46686.0,2836.0,17137.087,816.481,17953,568,0.0,74.2,31.0,31.13
2022-12-01 01:00:00 AM,23389.382,21140.828,22046.628,20156.534,21099.199,22109.721,1392.098,1263.0,18847.0,1612.0,0.0,0.0,602.0,0.0,0.0,942.665,0.0,0.0,-1.0,-3.466,0.0,-2163.0,974.695,0.0,0.0,35.827,1010.522,3442.57,2212.09,500.0,50.58,6205.24,46686.0,2836.0,16998.692,817.348,17816,04,0.0,76.2,32.5,33.13
2022-12-01 02:00:00 AM,23269.474,20983.117,21820.649,19920.868,20806.753,21908.772,1362.191,1284.0,18814.0,1612.0,0.0,0.0,604.0,0.0,0.0,885.886,0.0,0.0,-1.0,-4.132,0.0,-2388.0,1066.246,0.0,0.0,35.773,1102.019,3442.57,2212.09,500.0,50.58,6205.24,46686.0,2836.0,16833.292,817.481,17650,773,0.0,78.2,34.9,34.98
2022-12-01 03:00:00 AM,23425.899,21244.975,22067.233,20101.934,20996.463,22136.931,1414.728,1292.0,18846.0,1612.0,0.0,0.0,607.0,0.0,0.0,894.529,0.0,0.0,-1.0,-3.066,0.0,-2251.0,1104.285,0.0,0.0,36.183,1140.468,3442.57,2212.09,500.0,50.58,6205.24,46686.0,2836.0,16814.942,782.603,17597,544,0.0,80.2,36.1,35.04
2022-12-01 04:00:00 AM,24393.76,22536.003,23248.991,21115.58,22149.766,23290.497,1532.233,1209.0,19085.0,1611.0,0.0,44.0,604.0,0.0,0.0,1034.186,0.0,45.046,-1.0,-3.466,0.0,-1478.0,1104.897,0.0,0.0,35.834,1140.731,3442.57,2212.09,500.0,50.58,6205.24,46686.0,2836.0,16733.635,776.391,17510,026,0.0,82.2,38.1,37.35
2022-12-01 05:00:00 AM,26629.589,24378.773,25152.008,23977.45,23977.45,25206.648,1681.32,1223.0,19222.0,1611.0,0.0,478.0,601.0,441.0,0.0,0.0,0.0,468.516,-1.0,-3.066,0.0,-63.0,1173.046,20.462,0.0,35.69,1229.198,3442.57,2212.09,500.0,50.58,6205.24,46686.0,2836.0,16613.36,776.391,17389,751,0.0,83.8,39.7,38.67
2022-12-01 06:00:00 AM,27509.914,24805.294,26096.1,24347.284,24347.284,25866.812,1547.178,1266.0,19481.0,1611.0,0.0,528.0,604.0,417.0,0.0,0.0,0.0,479.884,-1.0,-1.6,0.0,-37.0,1127.77,343.059,13.59,35.109,1519.528,3442.57,2212.09,500.0,50.58,6205.24,46686.0,3180.0,16558.481,754.191,17312,672,0.0,83.0,38.9,37.83
2022-12-01 07:00:00 AM,28253.961,24750.258,26682.02,24285.129,24285.129,26563.339,1547.559,1264.0,19499.0,1611.0,0.0,529.0,605.0,352.0,0.0,0.0,0.0,473.862,-1.0,-1.733,0.0,-46.0,1043.889,1009.987,188.215,36.119,2278.21,3442.57,2212.09,500.0,50.58,6205.24,46686.0,3030.0,16433.547,760.391,17193,938,0.0,82.2,38.9,37.35
2022-12-01 08:00:00 AM,29290.331,24722.796,27196.454,24431.378,24431.378,27344.061,1572.483,1229.0,19452.0,1610.0,0.0,528.0,604.0,580.0,0.0,0.0,0.0,468.978,-1.0,-1.6,0.0,-38.0,1156.22,1392.475,327.63,36.358,2912.683,3442.57,2212.09,500.0,50.58,6205.24,46686.0,3030.0,16354.886,761.924,17116,81,0.0,81.4,38.9,37.29
2022-12-01 09:00:00 AM,29388.189,24486.71,27382.21,23722.894,23722.894,27196.273,1627.52,1231.0,19319.0,1609.0,0.0,309.0,602.0,259.0,0.0,0.0,0.0,434.627,-1.0,-1.733,0.0,-38.0,1394.238,1647.003,394.696,37.442,3473.379,3442.57,2212.09,500.0,50.58,6205.24,46686.0,3030.0,16208.24,773.811,16982,051,0.0,80.2,38.1,37.35
2022-12-01 10:00:00 AM,29523.206,24261.735,27414.488,23344.67,23344.67,27062.912,1593.842,1259.0,18888.0,1610.0,0.0,211.0,604.0,505.0,0.0,0.0,0.0,302.27,-1.0,-1.6,0.0,-32.0,1418.403,1853.121,409.046,37.672,3718.242,3442.57,2212.09,500.0,50.58,6205.24,46686.0,3030.0,16527.498,839.754,17367,252,0.0,80.2,38.1,36.62
2022-12-01 11:00:00 AM,29579.114,24211.118,27450.355,23403.544,23403.544,27048.837,1591.01,1271.0,18603.0,1610.0,0.0,272.0,605.0,772.0,0.0,0.0,0.0,298.144,-1.0,-1.6,0.0,-25.0,1243.375,1916.555,449.515,35.848,3645.293,3442.57,2212.09,500.0,50.58,6205.24,46686.0,3030.0,16844.148,841.754,17685,902,0.0,79.4,38.1,35.59
2022-12-01 12:00:00 PM,29557.84,24048.499,27377.709,23508.469,23508.469,26993.533,1587.522,1256.0,18199.0,1608.0,0.0,271.0,604.0,1295.0,0.0,0.0,0.0,298.202,-1.0,-1.733,0.0,-20.0,1127.337,1914.528,406.035,37.164,3485.064,3442.57,2212.09,500.0,50.58,6205.24,46686.0,3327.083,16793.284,874.087,17667,372,0.0,79.0,37.7,33.99
2022-12-01 01:00:00 PM,29294.565,23874.533,27363.891,23665.757,23665.757,27035.556,1596.671,1259.0,18015.0,1608.0,0.0,264.0,604.0,1631.0,0.0,0.0,0.0,301.357,-1.0,-1.6,0.0,-14.0,1139.198,1826.196,365.329,39.076,3369.799,3442.57,2212.09,500.0,50.58,6205.24,46686.0,3605.0,17029.933,858.954,17888,887,0.0,77.8,35.7,32.19
2022-12-01 02:00:00 PM,29414.336,24195.916,27630.704,24148.293,24148.293,27404.661,1657.838,1239.0,18042.0,1607.0,0.0,401.0,604.0,1924.0,0.0,0.0,0.0,341.026,-1.0,-1.733,0.0,-7.0,1253.162,1626.646,337.752,38.808,3256.368,3442.57,2212.09,500.0,50.58,6205.24,46686.0,3605.0,17140.15,878.754,18018,904,0.0,75.8,33.7,30.5
2022-12-01 03:00:00 PM,29617.562,24735.445,27919.37,24354.443,24354.443,27613.926,1609.714,1252.0,18013.0,1608.0,0.0,527.0,605.0,1902.0,0.0,0.0,0.0,458.043,-1.0,-1.6,0.0,-8.0,1696.12,1234.392,291.703,37.268,3259.483,3442.57,2212.09,500.0,50.58,6205.24,46686.0,3605.0,17101.47,979.421,18080,891,0.0,73.8,31.4,28.09
2022-12-01 04:00:00 PM,29842.954,25109.759,28000.176,23507.607,24344.444,27681.833,1612.695,1262.0,18329.0,1607.0,0.0,507.0,604.0,767.0,0.0,836.837,0.0,462.34,-1.0,-1.733,0.0,-28.0,2045.524,922.916,328.828,40.121,3337.389,3442.57,2212.09,500.0,50.58,6205.24,46686.0,3605.0,16853.36,989.087,17842,447,0.0,71.8,29.4,25.7
2022-12-01 05:00:00 PM,29816.095,25699.439,28390.046,23592.055,24994.718,28058.802,1557.914,1237.0,18779.59,1607.0,0.0,525.0,604.0,415.0,0.0,1402.663,0.0,466.065,-1.0,-1.6,0.0,-39.0,2166.394,477.667,380.625,39.398,3064.084,3442.57,2212.09,500.0,50.58,6205.24,46686.0,3605.0,16395.813,969.754,17365,567,0.0,71.0,27.8,24.86
2022-12-01 06:00:00 PM,30015.696,26388.079,28700.36,24327.315,25907.101,28356.217,1579.074,1162.0,18844.0,1607.0,0.0,513.0,606.0,1347.0,0.0,1361.786,218.0,274.048,-1.0,-1.733,0.0,-23.0,1926.36,107.436,376.271,39.049,2449.116,3442.57,2212.09,500.0,50.58,6205.24,46686.0,3605.0,16159.775,959.041,17118,816,0.0,70.2,27.4,24.79
2022-12-01 07:00:00 PM,30852.369,27447.719,29418.162,25176.4,26955.208,29061.119,1638.375,1141.0,18760.0,1607.0,0.0,554.0,606.0,2514.0,320.35,1240.458,218.0,0.0,-1.0,-1.6,0.0,-3.0,1697.072,6.281,363.345,39.213,2105.911,3442.57,2212.09,500.0,50.58,6205.24,46686.0,3605.0,16185.033,960.288,17145,321,0.0,68.6,25.4,23.54
2022-12-01 08:00:00 PM,30024.533,26178.785,27929.073,24237.267,25297.845,27559.13,1534.926,1132.0,18557.0,1607.0,0.0,526.0,605.0,1829.0,126.65,933.928,0.0,0.0,-1.0,-1.733,0.0,-16.0,1857.234,1.109,363.841,39.101,2261.285,3442.57,2212.09,500.0,50.58,6205.24,46686.0,3605.0,16344.102,960.124,17304,226,0.0,65.6,23.0,19.75
2022-12-01 09:00:00 PM,28072.565,24277.183,25962.996,22765.4,23561.769,25580.153,1431.989,1142.0,18463.0,1606.0,0.0,487.0,603.0,536.0,0.0,796.368,0.0,0.0,-1.0,-1.6,0.0,-69.0,1683.843,0.0,295.613,38.928,2018.384,3442.57,2212.09,500.0,50.58,6205.24,46686.0,3605.0,16371.617,956.524,17328,14,0.0,62.4,21.8,18.32
2022-12-01 10:00:00 PM,25997.865,23038.311,24493.476,21360.4,22368.667,24097.733,1352.54,1123.0,18347.0,1606.0,0.0,459.0,605.0,0.0,0.0,1008.266,0.0,0.0,-1.0,-1.6,0.0,-777.0,1620.879,0.0,69.437,38.75,1729.066,3442.57,2212.09,500.0,50.58,6205.24,46686.0,3605.0,16724.234,934.766,17659,0.0,61.4,21.4,18.25
2022-12-01 11:00:00 PM,24810.555,21987.616,23343.425,20560.4,21504.514,22934.782,1313.54,1126.0,18264.0,1606.0,0.0,91.0,604.0,0.0,0.0,944.113,0.0,0.0,-1.0,-1.6,0.0,-1128.0,1381.183,0.0,10.959,38.126,1430.268,3442.57,2212.09,500.0,50.58,6205.24,46686.0,3605.0,16942.464,876.027,17818,492,0.0,61.9,21.8,19.07
2022-12-02 12:00:00 AM,24121.697,21242.502,22521.726,20163.267,20671.716,22100.182,1364.433,1133.0,18293.0,1607.0,0.0,0.0,607.0,0.0,0.0,508.449,0.0,0.0,-1.0,-1.733,0.0,-1474.0,1390.002,0.0,0.0,38.464,1428.466,3442.57,2212.09,500.0,50.58,6205.24,46686.0,3605.0,17013.289,835.527,17848,816,0.0,63.3,23.2,20.08
2022-12-02 01:00:00 AM,23705.789,20843.795,22117.532,19587.267,20148.882,21683.089,1343.433,1201.0,18167.0,1608.0,0.0,0.0,605.0,0.0,0.0,561.615,0.0,0.0,-1.0,-1.733,0.0,-1991.0,1496.42,0.0,0.0,37.787,1534.207,3442.57,2212.09,500.0,50.58,6205.24,46686.0,3701.0,16979.139,816.854,17795,993,0.0,64.2,24.6,22.02
2022-12-02 02:00:00 AM,23534.424,20575.795,21927.119,19405.534,19859.872,21479.776,1324.955,1217.0,17969.0,1608.0,0.0,0.0,609.0,0.0,0.0,454.338,0.0,0.0,-1.0,-1.466,0.0,-1995.0,1582.349,0.0,0.0,37.555,1619.904,3442.57,2212.09,500.0,50.58,6205.24,46686.0,4245.0,16614.584,816.854,17431,438,0.0,65.6,26.2,24.14
2022-12-02 03:00:00 AM,23756.64,20704.193,22107.326,19657.267,20066.027,21647.083,1328.577,1241.0,17985.0,1608.0,0.0,0.0,608.0,0.0,0.0,408.759,0.0,0.0,-1.0,-1.733,0.0,-1782.0,1545.327,0.0,0.0,35.729,1581.056,3442.57,2212.09,500.0,50.58,6205.24,46686.0,4245.0,16639.395,802.687,17442,082,0.0,67.0,27.4,26.42
2022-12-02 04:00:00 AM,24677.868,21791.345,23294.804,20488.182,21337.365,22821.661,1401.551,1145.0,18270.0,1609.0,0.0,98.0,607.0,0.0,0.0,849.182,0.0,170.782,-1.0,-1.6,0.0,-1409.0,1450.193,0.0,0.0,34.103,1484.296,3442.57,2212.09,500.0,50.58,6205.24,46686.0,4245.0,16516.923,771.854,17288,777,0.0,68.6,28.2,28.41
2022-12-02 05:00:00 AM,26687.798,23581.614,25347.501,23159.661,23159.661,24861.179,1493.415,1125.0,18622.0,1609.0,0.0,510.0,601.0,301.0,0.0,0.0,0.0,477.394,-1.0,-1.733,0.0,-83.0,1645.873,18.11,0.0,37.535,1701.518,3442.57,2212.09,500.0,50.58,6205.24,46686.0,4245.0,16010.146,756.387,16766,534,0.0,69.4,29.0,30.44
2022-12-02 06:00:00 AM,27790.648,24090.492,26425.135,23846.201,23846.201,25773.799,1364.044,1208.0,18824.0,1609.0,0.0,503.0,604.0,655.0,0.0,0.0,0.0,477.801,-1.0,-1.6,0.0,-32.0,1531.236,353.723,3.896,38.743,1927.598,3442.57,2212.09,500.0,50.58,6205.24,46686.0,4245.0,15561.083,739.854,16300,937,0.0,68.6,29.0,30.5
2022-12-02 07:00:00 AM,28596.452,24052.134,27258.428,23847.562,23847.562,26516.871,1348.68,1216.0,18918.0,1609.0,0.0,497.0,604.0,573.0,0.0,0.0,0.0,467.162,-1.0,-1.6,0.0,-34.0,1458.831,990.077,182.592,37.809,2669.309,3442.57,2212.09,500.0,50.58,6205.24,46686.0,4245.0,15547.45,739.854,16287,304,0.0,67.4,28.2,30.12
2022-12-02 08:00:00 AM,29796.542,24313.745,28215.592,23758.194,23758.194,27370.687,1385.701,1168.0,18913.0,1609.0,0.0,487.0,604.0,553.0,0.0,0.0,0.0,458.927,-1.0,-1.733,0.0,-32.0,1725.963,1429.997,419.044,37.489,3612.493,3442.57,2212.09,500.0,50.58,6205.24,46686.0,4245.0,15602.786,717.054,16319,84,0.0,66.0,27.8,30.12
2022-12-02 09:00:00 AM,29828.323,24001.194,28295.325,23188.741,23188.741,27557.759,1413.08,1159.0,18710.0,1609.0,0.0,489.0,604.0,204.0,0.0,0.0,0.0,450.341,-1.0,-1.6,0.0,-34.0,2103.321,1735.535,492.674,37.488,4369.018,3442.57,2212.09,500.0,50.58,6205.24,46686.0,4245.0,15633.79,750.598,16384,388,0.0,64.7,27.0,30.12
2022-12-02 10:00:00 AM,30141.917,23831.99,28389.037,22858.147,22859.78,27744.667,1507.284,1211.0,18570.54,1609.0,0.0,442.0,604.0,128.0,0.0,0.0,1.633,316.34,-1.0,-1.733,0.0,-20.0,2463.954,1879.818,504.279,36.836,4884.887,3442.57,2212.09,500.0,50.58,6205.24,46686.0,4245.0,15705.512,829.451,16534,962,0.0,64.2,26.2,30.12
2022-12-02 11:00:00 AM,30186.595,23675.701,28333.449,22422.701,22433.201,27502.302,1513.096,1184.0,18337.0,1609.0,0.0,349.0,605.0,194.0,0.0,0.0,10.5,181.301,-2.0,-1.6,0.0,-33.0,2594.365,1932.347,503.939,38.45,5069.101,3442.57,2212.09,500.0,50.58,6205.24,46686.0,4216.5,15994.379,849.734,16844,113,0.0,63.7,26.2,30.06
2022-12-02 12:00:00 PM,29761.077,23427.21,28113.504,22296.099,22296.099,27319.899,1483.848,1022.0,18174.0,1608.0,0.0,245.0,604.0,650.0,0.0,0.0,0.0,19.832,-2.0,-1.733,0.0,-23.0,2615.204,1878.349,490.888,39.359,5023.8,3442.57,2212.09,500.0,50.58,6205.24,46686.0,4188.0,16124.342,965.451,17089,793,0.0,63.3,26.2,30.06
2022-12-02 01:00:00 PM,29247.974,23006.023,27735.758,22212.17,22212.17,27125.211,1476.189,1022.0,18260.77,1607.0,0.0,249.0,604.0,502.0,0.0,0.0,0.0,0.0,-2.0,-1.6,0.0,-29.0,2608.239,1794.223,472.216,38.363,4913.041,3442.57,2212.09,500.0,50.58,6205.24,46686.0,4188.0,16096.832,980.734,17077,566,0.0,62.4,25.4,29.24
2022-12-02 02:00:00 PM,29060.486,22913.814,27631.42,22154.267,22154.267,27204.795,1518.498,1022.0,18114.0,1606.0,0.0,210.0,605.0,629.0,0.0,0.0,0.0,0.0,-2.0,-1.733,0.0,-28.0,2823.335,1721.063,491.633,14.497,5050.528,3442.57,2212.09,500.0,50.58,6205.24,46686.0,4188.0,16066.708,978.734,17045,442,0.0,61.9,25.4,28.34
2022-12-02 03:00:00 PM,28849.218,23121.349,27698.09,22306.888,22306.888,27386.132,1538.975,1039.0,17701.0,1605.0,0.0,252.0,605.0,1000.0,0.0,0.0,0.0,135.488,-2.0,-1.6,0.0,-27.0,2945.662,1614.626,500.488,18.468,5079.244,3442.57,2212.09,500.0,50.58,6205.24,46686.0,4188.0,16390.483,986.934,17377,417,0.0,60.9,25.0,27.51
2022-12-02 04:00:00 PM,28638.698,23386.946,27925.871,21283.073,22706.898,27628.913,1406.031,1057.0,17723.0,1604.0,0.0,174.0,604.0,40.0,0.0,1423.825,0.0,282.673,-2.0,-1.6,0.0,-198.0,3028.065,1376.706,496.93,20.314,4922.015,3442.57,2212.09,500.0,50.58,6205.24,46686.0,4188.0,16623.122,908.401,17531,523,0.0,59.5,24.6,26.22
2022-12-02 05:00:00 PM,28522.842,23448.145,27558.807,21631.046,22943.157,27276.849,1382.003,1084.0,18014.0,1604.0,0.0,0.0,604.0,108.0,0.0,1312.111,0.0,310.779,-3.0,-1.733,0.0,-89.0,2926.778,896.813,484.171,25.93,4333.692,3442.57,2212.09,500.0,50.58,6205.24,46686.0,4188.0,16416.237,896.734,17312,971,0.0,59.5,25.0,26.22
2022-12-02 06:00:00 PM,28619.29,24042.248,27427.489,22581.107,24392.161,27960.531,1474.143,1008.0,18066.56,1605.0,8.0,0.0,605.0,1011.0,0.0,1608.053,203.0,312.147,-3.0,-1.6,0.0,-30.0,2830.045,269.65,432.86,35.815,3568.37,3442.57,2212.09,500.0,50.58,6205.24,46686.0,4188.0,16352.366,896.734,17249,1,0.0,59.0,25.4,26.22
2022-12-02 07:00:00 PM,29762.229,25404.057,28224.528,23673.106,25669.118,28672.57,1574.848,1134.0,17986.0,1605.0,0.0,0.0,604.0,2043.0,0.0,1793.012,203.0,313.839,-2.0,-1.733,0.0,-9.0,2569.621,6.315,390.566,36.95,3003.452,3442.57,2212.09,500.0,50.58,6205.24,46686.0,4188.0,16368.279,896.734,17265,013,0.0,57.5,24.6,24.92
2022-12-02 08:00:00 PM,29206.602,24848.596,27477.724,23180.742,25140.864,27840.766,1505.208,1195.0,17985.52,1604.0,0.0,0.0,604.0,1634.0,0.0,1956.621,3.5,175.822,-2.0,-1.6,0.0,-14.0,2287.365,0.14,375.76,36.637,2699.902,3442.57,2212.09,500.0,50.58,6205.24,46686.0,4188.0,16482.072,896.734,17378,806,0.0,55.0,22.2,22.49
2022-12-02 09:00:00 PM,27721.35,23183.173,25621.954,21956.667,23610.488,25999.996,1448.38,1185.0,17773.0,1605.0,0.0,0.0,604.0,821.0,0.0,1653.821,0.0,0.0,-2.0,-1.333,0.0,-28.0,1986.07,0.0,366.009,37.429,2389.508,3442.57,2212.09,500.0,50.58,6205.24,46686.0,4188.0,16391.437,862.567,17254,005,0.0,53.5,21.0,20.56
2022-12-02 10:00:00 PM,26135.77,22011.036,24064.89,21043.267,22440.348,24457.932,1459.208,970.0,17572.0,1605.0,0.0,0.0,604.0,349.0,0.0,1397.08,0.0,0.0,-2.0,-1.733,0.0,-53.0,1870.522,0.0,109.144,37.918,2017.584,3442.57,2212.09,500.0,50.58,6205.24,46686.0,4188.0,16907.902,832.834,17740,736,0.0,52.5,20.1,19.41
2022-12-02 11:00:00 PM,24958.816,21079.749,22892.251,20121.267,21501.396,23300.293,1444.444,1019.0,17600.0,1604.0,0.0,0.0,604.0,0.0,0.0,1380.128,0.0,0.0,-2.0,-1.733,0.0,-702.0,1703.505,0.0,59.054,36.338,1798.897,3442.57,2212.09,500.0,50.58,6205.24,46686.0,4188.0,17029.411,784.167,17813,578,0.0,51.5,20.1,19.0
2022-12-03 12:00:00 AM,23974.546,20412.966,22150.725,19534.4,20969.449,22573.767,1354.365,1050.0,17590.0,1603.0,0.0,0.0,604.0,0.0,0.0,1435.049,0.0,0.0,-2.0,-1.6,0.0,-1309.0,1535.259,0.0,35.301,33.758,1604.318,3442.57,2212.09,500.0,50.58,6205.24,46686.0,4794.0,16411.892,772.557,17184,448,0.0,52.5,20.6,19.41
2022-12-03 01:00:00 AM,23529.017,20041.481,21720.413,18919.267,20560.88,22158.455,1326.884,1103.0,17350.0,1602.0,0.0,0.0,604.0,0.0,0.0,1641.613,0.0,0.0,-2.0,-1.733,0.0,-1736.0,1527.525,0.0,35.313,34.737,1597.575,3442.57,2212.09,500.0,50.58,6205.24,46686.0,4989.15,16277.704,772.544,17050,248,0.0,53.5,21.4,20.82
2022-12-03 02:00:00 AM,23275.946,19875.854,21506.028,18839.267,20456.047,21959.07,1332.584,1153.0,16824.0,1602.0,0.0,0.0,606.0,0.0,0.0,1616.78,0.0,0.0,-2.0,-1.733,0.0,-1342.0,1434.07,0.0,35.158,33.795,1503.023,3442.57,2212.09,500.0,50.58,6205.24,46686.0,5505.0,16414.728,770.711,17185,439,0.0,55.0,23.0,22.36
2022-12-03 03:00:00 AM,23428.264,19942.894,21489.812,18933.267,20445.265,21957.854,1334.277,1148.0,16765.0,1602.0,0.0,0.0,605.0,0.0,0.0,1511.998,0.0,0.0,-2.0,-1.733,0.0,-1183.0,1444.615,0.0,34.956,33.018,1512.589,3442.57,2212.09,500.0,50.58,6205.24,46686.0,5505.0,16516.07,717.544,17233,614,0.0,55.5,25.4,23.94
2022-12-03 04:00:00 AM,23813.646,20417.226,21921.027,19493.4,20917.084,22404.069,1330.652,1074.0,16723.0,1602.0,0.0,0.0,606.0,122.0,0.0,1423.684,0.0,0.0,-2.0,-1.6,0.0,-630.0,1418.196,0.0,34.801,33.988,1486.985,3442.57,2212.09,500.0,50.58,6205.24,46686.0,5877.0,16298.257,717.544,17015,801,0.0,56.5,25.8,25.64
