Name,Key,latitude,longitude,capacity,BW,status,COD,Type,dc_ac_ratio,capacity_peak,yield,cf_dc,cf_ac,Comment,commissioning_year,decommissioning_year,included_2023
Aries Solar,Aries,-29.496506,20.785119,9.65,1,operational,2014/03/20,Fixed Tilt,1.14,11.0,22000.0,0.228,0.26,,2014.0,,True
De Aar Solar PV,De_Aar,-30.6234,24.0283,48.25,1,operational,2014/04/05,Fixed Tilt,1.04,50.0,85458.0,0.195,0.202,,2014.0,,True
Droogfontein Solar PV Project,Droogfontein1,-28.6133,24.7468,48.25,1,operational,2014/04/06,Fixed Tilt,1.04,50.0,85458.0,0.195,0.202,,2014.0,,True
Greefspan PV Power Plant1,Greefspan1,-29.393781,23.307708,10.0,1,operational,2014/04/11,Single Axis,1.1,11.0,26967.0,0.28,0.308,Modified to SAT,2014.0,,True
Herbert PV Power Plant,Herbert,-29.0019,23.8019,19.9,1,operational,2014/04/11,Fixed Tilt,1.11,22.0,43231.0,0.224,0.248,,2014.0,,True
Kalkbult,Kalkbult,-30.160833,24.135833,72.5,1,operational,2014/03/19,Fixed Tilt,1.03,75.0,135000.0,0.205,0.213,,2014.0,,True
Kathu Solar Energy Facility,Kathu,-27.612908,23.025886,75.0,1,operational,2014/08/15,Single Axis,1.08,81.0,181000.0,0.255,0.275,Modified to SAT,2014.0,,True
Konkoonsies Solar,Konkoonsies,-28.889147,19.555275,9.65,1,operational,2014/03/20,Fixed Tilt,1.14,11.0,22000.0,0.228,0.26,,2014.0,,True
Lesedi Power Company,Lesedi,-28.3154,23.3501,64.0,1,operational,2014/05/21,Fixed Tilt,1.17,75.0,150000.0,0.228,0.268,,2014.0,,True
Letsatsi Power Company,Letsatsi,-28.9134,25.9199,64.0,1,operational,2014/05/21,Fixed Tilt,1.17,75.0,150000.0,0.228,0.268,,2014.0,,True
Mulilo Renewable Energy Solar PV De Aar,Mulilo_De_ Aar,-30.6279,24.005453,9.65,1,operational,2014/07/19,Fixed Tilt,1.04,10.0,19272.0,0.22,0.228,,2014.0,,True
Mulilo Renewable Energy Solar PV Prieska,Mulilo_Prieska,-29.967661,22.319683,19.9,1,operational,2014/10/01,Fixed Tilt,1.01,20.0,38544.0,0.22,0.221,,2014.0,,True
RustMo1 Solar Farm,RustMo1,-25.737892,27.418314,6.76,1,operational,2013/11/15,Fixed Tilt,1.04,7.0,12500.0,0.204,0.211,,2013.0,,True
SlimSun Swartland Solar Park,SlimSun,-33.35,18.529708,5.0,1,operational,2015/08/04,Fixed Tilt,1.2,5.98,10500.0,0.2,0.24,,2015.0,,True
Solar Capital De Aar,Solar_Capital,-30.604753,24.095239,75.0,1,operational,2014/08/15,Fixed Tilt,1.13,85.0,,0,0.0,,2014.0,,True
Soutpan Solar Park,Soutpan,-22.991667,29.251667,28.0,1,operational,2014/07/14,Fixed Tilt,1.11,31.0,61000.0,0.225,0.249,,2014.0,,True
Touwsrivier Project,Touwsrivier,-33.410389,19.9276,36.0,1,operational,2014/12/05,Single Axis,1.0,,,#DIV/0!,0.0,Modified to SAT,2014.0,,True
Witkop Solar Park,Witkop,-24.041667,29.361667,30.0,1,operational,2014/09/20,Single Axis,1.1,33.0,,0,0.0,Modified to SAT,2014.0,,True
Aurora,Aurora,-32.641344,18.497289,9.0,2,operational,2014/12/01,Fixed Tilt,1.17,10.5,,0,0.0,,2014.0,,True
Boshoff Solar Park,Boshoff,-28.4628,25.1891,60.0,2,operational,2014/10/25,Single Axis,1.1,66.0,132000.0,0.228,0.251,Modified to SAT,2014.0,,True
Jasper Power Company,Jasper,-28.3133,23.3751,75.0,2,operational,2014/12/17,Fixed Tilt,1.28,96.0,180000.0,0.214,0.274,,2014.0,,True
Linde,Linde,-30.9986,24.6506,36.8,2,operational,2013/06/30,Single Axis,1.0,,,#DIV/0!,0.0,Modified to SAT,2013.0,,True
Project Dreunberg,Dreunberg,-30.8373,26.2055,69.9,2,operational,2014/12/31,Fixed Tilt,1.07,75.0,156000.0,0.237,0.255,,2014.0,,True
Sishen Solar Facility,Sishen,-27.583611,22.932778,74.0,2,operational,2014/11/29,Single Axis,1.27,94.2,216000.0,0.262,0.333,Modified to SAT,2014.0,,True
Solar Capital De Aar 3,Solar_Capital2,-30.604753,24.095239,75.0,2,operational,2014/08/15,Fixed Tilt,1.0,,,#DIV/0!,0.0,,2014.0,,True
Upington Solar PV,Upington,-28.5493,21.1038,8.9,2,operational,2014/07/31,Fixed Tilt,1.12,10.0,,0,0.0,,2014.0,,True
Vredendal,Vredendal,-31.634886,18.505356,8.8,2,operational,2014/08/01,Fixed Tilt,1.19,10.5,,0,0.0,,2014.0,,True
