source_id,source_type,path_or_url,hash_algorithm,hash,commit_or_version,recorded_at,notes
pypsa-earth-current,git-repository,/Users/nylan/Documents/BSE/Reliable-Electrification-Planning-SA-Vault/6-codebases/repos/pypsa-earth,git,HEAD,dacf37804e8d78f5a9a4b97d08958e22a747a839,2026-05-08 11:22 CEST,current implementation branch main
pypsa-earth-plan-pin,git-commit,upstream-pypsa-earth,git,commit,e18bea540e0742ea978e00338df143fa01e78553,2026-05-08 11:22 CEST,pin is ancestor of current HEAD
pypsa-rsa-current,git-repository,/Users/nylan/Documents/BSE/Reliable-Electrification-Planning-SA-Vault/6-codebases/repos/pypsa-rsa,git,HEAD,89872c1ea703af3d8a3f198706d1ab7958f50a5f,2026-05-08 11:22 CEST,reference repository branch master
za-2023-cutout,file,cutouts/cutout-2023-era5.nc,sha256,0c6b22fa6b8a0a469cc24460df2014fdb9c041035985dfb3b1aa7d6608e19076,,2026-05-08 11:22 CEST,detected local prebuilt ERA5 cutout
eskom-2023-raw,file,data/za_audit/raw/eskom_data_2023_full.csv,sha256,8c2220f114ba60d5ae823f5116368cc2a664ec625d70f4d52bdf26caffc29869,,2026-05-08 11:48 CEST,raw Eskom 2023 data staged for module 02
eskom-2023-hourly-clean,generated-file,data/za_validation/eskom_2023_hourly_clean.csv,sha256,bab73ee6b46d4c147d64b9e0b8d88a01eff2d49229e4688729b180aa1ca4221a,,2026-05-08 11:48 CEST,generated by scripts/build_za_eskom_validation_data.py
eskom-2023-targets,generated-file,data/za_validation/eskom_2023_targets_by_carrier.csv,sha256,dc0bba6c28d5dc0f1fb4004eee3a476f6c371f0bfe13316d5ec6c7204e508ec3,,2026-05-08 11:48 CEST,generated by scripts/build_za_eskom_validation_data.py
eskom-2023-parser-report,generated-file,data/za_audit/eskom_2023_parser_report.csv,sha256,90b65f372759f000f2e04e287c8c492644b252eff2feccfcf2b0c39df66c7bfd,,2026-05-08 11:48 CEST,generated by scripts/build_za_eskom_validation_data.py
za-2023-profile-solar,generated-file,resources/za_2023_fixed_validation/renewable_profiles/profile_solar.nc,sha256,ae900f83a9358fa5ee10f74612da7c2806d144637655718671651dda9090535e,,2026-05-08 12:30 CEST,generated by upstream build_renewable_profiles with cutout-2023-era5
za-2023-profile-onwind,generated-file,resources/za_2023_fixed_validation/renewable_profiles/profile_onwind.nc,sha256,2a1ae2591ad757e71eb08e8315644787fb95814c57add311e0c1b3c0a0b9ed91,,2026-05-08 12:30 CEST,generated by upstream build_renewable_profiles with cutout-2023-era5
za-2023-profile-hydro,generated-file,resources/za_2023_fixed_validation/renewable_profiles/profile_hydro.nc,sha256,6de41e4fa7fc66ba8be37c1ded6a1ab2c2c7c703f2f27ed57e5629dc704a8424,,2026-05-13 01:56 CEST,rebuilt by upstream build_renewable_profiles with cutout-2023-era5 and renewable.hydro.multiplier=1.20
za-2023-profile-csp,generated-file,resources/za_2023_fixed_validation/renewable_profiles/profile_csp.nc,sha256,2051d6c6720542eb004374cdfa09a18b7187f1dabf23d9f80d43aeb61d0bc310,,2026-05-08 12:30 CEST,generated by upstream build_renewable_profiles with native atlite csp
za-atlite-profile-validation,generated-file,data/za_audit/za_atlite_renewable_profile_validation.csv,sha256,c7abdadfbb8a6b2892942e93077c5acecee6bb792b354c43412be372b2beca16,,2026-05-08 12:30 CEST,generated by scripts/validate_za_renewable_profiles.py
za-atlite-technical-potential,generated-file,data/za_audit/za_atlite_technical_potential.csv,sha256,f4fb24588237d17f73c33164c4ad413ff80ece14da7b47a634e0a38a22242f05,,2026-05-08 12:30 CEST,generated by scripts/validate_za_renewable_profiles.py
za-renewable-profile-validation-report,generated-file,doc/za_renewable_profile_validation.md,sha256,afa795c322c6e8408481fced4842e47891eea1b209df4b61a509106faf014120,,2026-05-08 12:30 CEST,generated by scripts/validate_za_renewable_profiles.py
za-profile-validation-notebook,generated-file,notebooks/za_validation/03_profiles/profile_validation.ipynb,sha256,f725da18f8d198cd1979efb6d92d6bfe8eeb8a14102abfd12aaebcf5cdef5e95,,2026-05-08 12:30 CEST,module 03 validation notebook
za-profile-validation-html,generated-file,doc/za_validation/figures/03_profiles/profile_validation.html,sha256,06b01887b608d937dd32b786aedd4e9cbfce03885562e12651bc80b9351d3505,,2026-05-08 12:30 CEST,executed module 03 validation notebook export
za-audit-pypsa-rsa-source-registry-csv,generated-file,data/za_audit/pypsa_rsa_source_registry.csv,sha256,a4e0165e360d19c52f371bcfb1561f1aa7b7dc9a6b9dab9df0822ec3e147d94f,,2026-05-08 13:19 CEST,module 04 source registry
