mode,sasol_enabled,source_file,station_or_asset,carrier,p_nom_mw,official_eskom_2023_nominal_mw,rsa_var_hr_mw,current_model_previous_mw,difference_vs_official_mw,difference_vs_rsa_var_hr_mw,included_in_coal_uc,included_in_eskom_coal_validation,bus,source_class,source_evidence,notes
calibrated_2023,False,data/custom_powerplants.csv,Arnot,coal,2100.000000,2100.0,2100.000000,2100.000000,0.0,0.000000,True,True,Middelburg,official_eskom_2023_nominal,Eskom Integrated Report 2023 plant information,calibrated_2023 aliases eskom_nominal_2023
calibrated_2023,False,data/custom_powerplants.csv,Camden,coal,1481.000000,1481.0,1481.000000,1481.000000,0.0,0.000000,True,True,Highveld South,official_eskom_2023_nominal,Eskom Integrated Report 2023 plant information,calibrated_2023 aliases eskom_nominal_2023
calibrated_2023,False,data/custom_powerplants.csv,Duvha,coal,2875.000000,2875.0,2875.000000,2875.000000,0.0,0.000000,True,True,Middelburg,official_eskom_2023_nominal,Eskom Integrated Report 2023 plant information,calibrated_2023 aliases eskom_nominal_2023
calibrated_2023,False,data/custom_powerplants.csv,Grootvlei,coal,570.000000,570.0,570.000000,570.000000,0.0,0.000000,True,True,Highveld South,official_eskom_2023_nominal,Eskom Integrated Report 2023 plant information,calibrated_2023 aliases eskom_nominal_2023
calibrated_2023,False,data/custom_powerplants.csv,Hendrina,coal,1098.000000,1098.0,1098.000000,1098.000000,0.0,0.000000,True,True,Highveld South|Middelburg,official_eskom_2023_nominal,Eskom Integrated Report 2023 plant information,calibrated_2023 aliases eskom_nominal_2023
calibrated_2023,False,data/custom_powerplants.csv,Kelvin,coal,0.000000,0.0,160.000000,0.000000,0.0,-160.000000,False,False,,official_eskom_2023_nominal,Eskom Integrated Report 2023 plant information,calibrated_2023 aliases eskom_nominal_2023
calibrated_2023,False,data/custom_powerplants.csv,Kendal,coal,3840.000000,3840.0,3840.000000,3840.000000,0.0,0.000000,True,True,Witbank,official_eskom_2023_nominal,Eskom Integrated Report 2023 plant information,calibrated_2023 aliases eskom_nominal_2023
calibrated_2023,False,data/custom_powerplants.csv,Komati,coal,0.000000,0.0,0.000000,0.000000,0.0,0.000000,False,False,,official_eskom_2023_nominal,Eskom Integrated Report 2023 plant information,calibrated_2023 aliases eskom_nominal_2023
calibrated_2023,False,data/custom_powerplants.csv,Kriel,coal,2640.000000,2640.0,2640.000000,2640.000000,0.0,0.000000,True,True,Witbank,official_eskom_2023_nominal,Eskom Integrated Report 2023 plant information,calibrated_2023 aliases eskom_nominal_2023
calibrated_2023,False,data/custom_powerplants.csv,Kusile,coal,2880.000000,2880.0,4320.000000,2880.000000,0.0,-1440.000000,True,True,Witbank,official_eskom_2023_nominal,Eskom Integrated Report 2023 plant information,calibrated_2023 aliases eskom_nominal_2023
calibrated_2023,False,data/custom_powerplants.csv,Lethabo,coal,3558.000000,3558.0,3558.000000,3558.000000,0.0,0.000000,True,True,Vaal,official_eskom_2023_nominal,Eskom Integrated Report 2023 plant information,calibrated_2023 aliases eskom_nominal_2023
calibrated_2023,False,data/custom_powerplants.csv,Majuba,coal,3807.000000,3807.0,3807.000000,3807.000000,0.0,0.000000,True,True,Highveld South,official_eskom_2023_nominal,Eskom Integrated Report 2023 plant information,calibrated_2023 aliases eskom_nominal_2023
calibrated_2023,False,data/custom_powerplants.csv,Matimba,coal,3690.000000,3690.0,3690.000000,3690.000000,0.0,0.000000,True,True,Lephalale,official_eskom_2023_nominal,Eskom Integrated Report 2023 plant information,calibrated_2023 aliases eskom_nominal_2023
calibrated_2023,False,data/custom_powerplants.csv,Matla,coal,3450.000000,3450.0,3450.000000,3450.000000,0.0,0.000000,True,True,Witbank,official_eskom_2023_nominal,Eskom Integrated Report 2023 plant information,calibrated_2023 aliases eskom_nominal_2023
calibrated_2023,False,data/custom_powerplants.csv,Medupi,coal,3600.000000,3600.0,4320.000000,3600.000000,0.0,-720.000000,True,True,Lephalale,official_eskom_2023_nominal,Eskom Integrated Report 2023 plant information,calibrated_2023 aliases eskom_nominal_2023
calibrated_2023,False,data/custom_powerplants.csv,Tutuka,coal,3510.000000,3510.0,3510.000000,3510.000000,0.0,0.000000,True,True,Highveld South,official_eskom_2023_nominal,Eskom Integrated Report 2023 plant information,calibrated_2023 aliases eskom_nominal_2023
calibrated_2023,False,data/custom_powerplants.csv,Secunda_coal,sasol_coal,0.000000,,600.040000,0.000000,,-600.040000,False,False,,pypsa_rsa_sasol_diagnostic,pypsa-rsa Benchmark_2023 fixed_technologies.xlsx VAR_HR,optional non-UC Sasol diagnostic disabled
calibrated_2023,False,data/custom_powerplants.csv,Sasolburg_coal,sasol_coal,0.000000,,128.000000,0.000000,,-128.000000,False,False,,pypsa_rsa_sasol_diagnostic,pypsa-rsa Benchmark_2023 fixed_technologies.xlsx VAR_HR,optional non-UC Sasol diagnostic disabled
calibrated_2023,False,data/custom_powerplants.csv,Sasol_ice,sasol_gas,0.000000,,174.600000,0.000000,,-174.600000,False,False,,pypsa_rsa_sasol_diagnostic,pypsa-rsa Benchmark_2023 fixed_technologies.xlsx VAR_HR,optional non-UC Sasol diagnostic disabled
calibrated_2023,False,data/custom_powerplants.csv,Sasol_ocgt,sasol_gas,0.000000,,250.000000,0.000000,,-250.000000,False,False,,pypsa_rsa_sasol_diagnostic,pypsa-rsa Benchmark_2023 fixed_technologies.xlsx VAR_HR,optional non-UC Sasol diagnostic disabled
