rsa_carrier,count_in_audit,mapped_v1_carrier,status
coal,219,coal,resolved
solar_pv,167,solar,resolved
wind,144,onwind,resolved
rmippp,66,,pending_module_08
ocgt_diesel,28,ocgt_diesel,resolved
hydro,26,hydro,resolved
battery_4h,25,battery,resolved
solar_csp,21,csp,resolved
solar_pv_rooftop,18,,excluded_by_boundary
bioenergy,15,biomass,resolved
sasol_gas,14,sasol_gas,resolved
sasol_coal,13,sasol_coal,resolved
ocgt_avf,12,ocgt_gas,resolved
phs,8,PHS,resolved
nuclear,7,nuclear,resolved
hydro_import,3,hydro_import,resolved
ocgt_gas,2,ocgt_gas,resolved
