carrier,parameter,value_zar,value_eur,units,base_year,source_carrier_in_audit,source_path,source_hash,conversion_eur_zar_rate,conversion_rate_base_year,source,notes
coal,investment,,1300.000000000,EUR/kWel,2013.000000000,coal,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
coal,FOM,,1.923076000,%/year,2013.000000000,coal,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
coal,VOM,,6.000000000,EUR/MWhel,2013.000000000,coal,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
coal,fuel,,8.400000000,EUR/MWhth,2013.000000000,coal,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
coal,efficiency,,0.464000000,per unit,,coal,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
coal,lifetime,,40.000000000,years,,coal,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
coal,CO2 intensity,,0.354000000,tCO2/MWth,,coal,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
coal,fuel_price,45.180000000,2.892710953,R/GJ,2018.000000000,coal,fuel_prices.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,15.618567059,2018.000000000,pypsa_rsa,"PyPSA-RSA fuel_prices role, 2023 column"
coal,heat_rate,,12.066000000,GJ/MWh,2018.000000000,coal,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,,,pypsa_rsa,median across 2023-active stations in fixed_tech
coal,co2_emissions,,1010.000000000,kgCO2/MWh,2018.000000000,coal,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,,,pypsa_rsa,median across 2023-active stations in fixed_tech
coal,VOM_zar,88.366325370,5.657774176,R/MWh,2018.000000000,coal,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,15.618567059,2018.000000000,pypsa_rsa,median across 2023-active stations in fixed_tech
coal,FOM_zar,1118.984022753,71.644474076,R/kW/yr,2018.000000000,coal,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,15.618567059,2018.000000000,pypsa_rsa,median across 2023-active stations in fixed_tech
nuclear,investment,,6000.000000000,EUR/kWel,2013.000000000,nuclear,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
nuclear,VOM,,8.000000000,EUR/MWhel,2013.000000000,nuclear,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
nuclear,fuel,,3.000000000,EUR/MWhth,2013.000000000,nuclear,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
nuclear,efficiency,,0.337000000,per unit,,nuclear,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
nuclear,lifetime,,45.000000000,years,,nuclear,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
nuclear,fuel_price,18.000000000,1.152474483,R/GJ,2018.000000000,nuclear,fuel_prices.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,15.618567059,2018.000000000,pypsa_rsa,"PyPSA-RSA fuel_prices role, 2023 column"
nuclear,heat_rate,,11.111000000,GJ/MWh,2018.000000000,nuclear,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,,,pypsa_rsa,median across 2023-active stations in fixed_tech
nuclear,co2_emissions,,0.000000000,kgCO2/MWh,2018.000000000,nuclear,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,,,pypsa_rsa,median across 2023-active stations in fixed_tech
nuclear,VOM_zar,56.006825939,3.585913210,R/MWh,2018.000000000,nuclear,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,15.618567059,2018.000000000,pypsa_rsa,median across 2023-active stations in fixed_tech
nuclear,FOM_zar,1477.335608646,94.588421786,R/kW/yr,2018.000000000,nuclear,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,15.618567059,2018.000000000,pypsa_rsa,median across 2023-active stations in fixed_tech
sasol_coal,heat_rate,,12.372000000,GJ/MWh,2018.000000000,sasol_coal,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,,,pypsa_rsa,median across 2023-active stations in fixed_tech
sasol_coal,co2_emissions,,1347.000000000,kgCO2/MWh,2018.000000000,sasol_coal,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,,,pypsa_rsa,median across 2023-active stations in fixed_tech
sasol_coal,VOM_zar,88.366325370,5.657774176,R/MWh,2018.000000000,sasol_coal,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,15.618567059,2018.000000000,pypsa_rsa,median across 2023-active stations in fixed_tech
sasol_coal,FOM_zar,1201.483321957,76.926603922,R/kW/yr,2018.000000000,sasol_coal,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,15.618567059,2018.000000000,pypsa_rsa,median across 2023-active stations in fixed_tech
sasol_gas,heat_rate,,9.600000000,GJ/MWh,2018.000000000,sasol_gas,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,,,pypsa_rsa,median across 2023-active stations in fixed_tech
sasol_gas,co2_emissions,,432.000000000,kgCO2/MWh,2018.000000000,sasol_gas,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,,,pypsa_rsa,median across 2023-active stations in fixed_tech
sasol_gas,VOM_zar,37.366894198,2.392466227,R/MWh,2018.000000000,sasol_gas,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,15.618567059,2018.000000000,pypsa_rsa,median across 2023-active stations in fixed_tech
sasol_gas,FOM_zar,0.000000000,0.000000000,R/kW/yr,2018.000000000,sasol_gas,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,15.618567059,2018.000000000,pypsa_rsa,median across 2023-active stations in fixed_tech
ocgt_diesel,investment,,400.000000000,EUR/kWel,2013.000000000,OCGT,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
ocgt_diesel,FOM,,3.750000000,%/year,2013.000000000,OCGT,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
ocgt_diesel,VOM,,3.000000000,EUR/MWhel,2013.000000000,OCGT,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
ocgt_diesel,efficiency,,0.390000000,per unit,,OCGT,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
ocgt_diesel,lifetime,,30.000000000,years,,OCGT,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
ocgt_diesel,fuel_price,515.299377800,32.992743563,R/GJ,2018.000000000,ocgt_diesel,fuel_prices.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,15.618567059,2018.000000000,pypsa_rsa,"PyPSA-RSA fuel_prices role, 2023 column"
ocgt_diesel,heat_rate,,11.519000000,GJ/MWh,2018.000000000,ocgt_diesel,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,,,pypsa_rsa,median across 2023-active stations in fixed_tech
ocgt_diesel,co2_emissions,,574.000000000,kgCO2/MWh,2018.000000000,ocgt_diesel,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,,,pypsa_rsa,median across 2023-active stations in fixed_tech
ocgt_diesel,VOM_zar,3.733788396,0.239060881,R/MWh,2018.000000000,ocgt_diesel,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,15.618567059,2018.000000000,pypsa_rsa,median across 2023-active stations in fixed_tech
ocgt_diesel,FOM_zar,210.336746303,13.467096278,R/kW/yr,2018.000000000,ocgt_diesel,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,15.618567059,2018.000000000,pypsa_rsa,median across 2023-active stations in fixed_tech
ocgt_gas,investment,,400.000000000,EUR/kWel,2013.000000000,OCGT,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
ocgt_gas,FOM,,3.750000000,%/year,2013.000000000,OCGT,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
ocgt_gas,VOM,,3.000000000,EUR/MWhel,2013.000000000,OCGT,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
ocgt_gas,efficiency,,0.390000000,per unit,,OCGT,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
ocgt_gas,lifetime,,30.000000000,years,,OCGT,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
ocgt_gas,fuel_price,272.000000000,17.415169969,R/GJ,2018.000000000,ocgt_gas,fuel_prices.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,15.618567059,2018.000000000,pypsa_rsa,"PyPSA-RSA fuel_prices role, 2023 column"
ocgt_gas,heat_rate,,11.519000000,GJ/MWh,2018.000000000,ocgt_gas,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,,,pypsa_rsa,median across 2023-active stations in fixed_tech
ocgt_gas,co2_emissions,,574.000000000,kgCO2/MWh,2018.000000000,ocgt_gas,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,,,pypsa_rsa,median across 2023-active stations in fixed_tech
ocgt_gas,VOM_zar,3.733788396,0.239060881,R/MWh,2018.000000000,ocgt_gas,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,15.618567059,2018.000000000,pypsa_rsa,median across 2023-active stations in fixed_tech
ocgt_gas,FOM_zar,243.940841866,15.618644204,R/kW/yr,2018.000000000,ocgt_gas,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,15.618567059,2018.000000000,pypsa_rsa,median across 2023-active stations in fixed_tech
onwind,investment,,1040.000000000,EUR/kWel,2013.000000000,onwind,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
onwind,FOM,,2.450549000,%/year,2013.000000000,onwind,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
onwind,VOM,,2.300000000,EUR/MWhel,2013.000000000,onwind,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
onwind,lifetime,,30.000000000,years,,onwind,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
onwind,VOM_zar,868.000000000,55.574880636,R/MWh,2018.000000000,wind,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,15.618567059,2018.000000000,pypsa_rsa,median across 2023-active stations in fixed_tech
onwind,FOM_zar,0.000000000,0.000000000,R/kW/yr,2018.000000000,wind,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,15.618567059,2018.000000000,pypsa_rsa,median across 2023-active stations in fixed_tech
solar,investment,,600.000000000,EUR/kWel,2013.000000000,solar,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
solar,FOM,,4.166667000,%/year,2013.000000000,solar,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
solar,VOM,,0.010000000,EUR/MWhel,2013.000000000,solar,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
solar,lifetime,,25.000000000,years,,solar,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
solar,VOM_zar,1165.000000000,74.590709609,R/MWh,2018.000000000,solar_pv,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,15.618567059,2018.000000000,pypsa_rsa,median across 2023-active stations in fixed_tech
solar,FOM_zar,0.000000000,0.000000000,R/kW/yr,2018.000000000,solar_pv,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,15.618567059,2018.000000000,pypsa_rsa,median across 2023-active stations in fixed_tech
csp,investment,,108.370000000,"EUR/kW_th,dp",2013.000000000,csp-tower,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
csp,FOM,,1.100000000,%/year,2013.000000000,csp-tower,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
csp,lifetime,,30.000000000,years,,csp-tower,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
csp,fuel_price,0.000000000,0.000000000,R/GJ,2018.000000000,solar_csp,fuel_prices.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,15.618567059,2018.000000000,pypsa_rsa,"PyPSA-RSA fuel_prices role, 2023 column"
csp,VOM_zar,3114.000000000,199.378085600,R/MWh,2018.000000000,solar_csp,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,15.618567059,2018.000000000,pypsa_rsa,median across 2023-active stations in fixed_tech
csp,FOM_zar,0.000000000,0.000000000,R/kW/yr,2018.000000000,solar_csp,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,15.618567059,2018.000000000,pypsa_rsa,median across 2023-active stations in fixed_tech
hydro,investment,,2000.000000000,EUR/kWel,2013.000000000,hydro,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
hydro,FOM,,1.000000000,%/year,2013.000000000,hydro,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
hydro,efficiency,,0.900000000,per unit,,hydro,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
hydro,lifetime,,80.000000000,years,,hydro,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
