name,bus0,bus1,v_nom_kv,length_km,num_parallel,s_nom_built,s_nom_target,x,r,b,type_used,source_note,added_ok
ZA_custom_Bloemfontein_Highveld South_400kV,Bloemfontein,Highveld South,,354.22863697533427,1.0,492.0796,492.0796,87.14024469593222,10.626859109260028,0.001535581141288,,pypsa_standard_400kV_4bundle_380_per_km,True
ZA_custom_Carletonville_Pretoria_275kV,Carletonville,Pretoria,,209.0736033897962,1.0,465.0517,465.0517,66.90355308473478,7.108502515253072,0.0007526649722032,,hand_override_275kV_singlecircuit,True
ZA_custom_Highveld South_West Rand_400kV,Highveld South,West Rand,,223.81447955051996,1.0,1119.5404,1119.5404,55.05836196942791,6.714434386515599,0.0009702357688515,,pypsa_standard_400kV_4bundle_380_per_km,True
ZA_custom_Johannesburg_Middelburg_400kV,Johannesburg,Middelburg,,162.9107058493584,1.0,1017.6889,1017.6889,40.07603363894217,4.887321175480752,0.0007062179098569,,pypsa_standard_400kV_4bundle_380_per_km,True
ZA_custom_Johannesburg_Polokwane_400kV,Johannesburg,Polokwane,,329.5024063343509,2.0,557.3345,557.3345,40.52879597912516,4.942536095015263,0.0028567858629188,,pypsa_standard_400kV_4bundle_380_per_km,True
ZA_custom_Johannesburg_Vaal_275kV,Johannesburg,Vaal,,106.19544492140348,1.0,633.0067,633.0067,33.98254237484912,3.610645127327719,0.000382303601717,,hand_override_275kV_singlecircuit,True
ZA_custom_Johannesburg_Warmbad_275kV,Johannesburg,Warmbad,,114.91825423067738,1.0,461.3918,461.3918,36.77384135381676,3.907220643843031,0.0004137057152304,,hand_override_275kV_singlecircuit,True
ZA_custom_Johannesburg_Witbank_400kV,Johannesburg,Witbank,,78.72151289114196,6.0,6170.3782,6170.3782,3.2275820285368204,0.3936075644557097,0.0020475465502986,,pypsa_standard_400kV_4bundle_380_per_km,True
ZA_custom_Nigel_Welkom_275kV,Nigel,Welkom,,213.42562222392183,1.0,277.3843,277.3843,68.29619911165499,7.256471155613343,0.0007683322400061,,hand_override_275kV_singlecircuit,True
ZA_custom_Nigel_Witbank_275kV,Nigel,Witbank,,98.66268247969228,2.0,859.421,859.421,15.786029196750764,1.677265602154769,0.0007103713138537,,hand_override_275kV_singlecircuit,True
