carrier,p_nom_mw_2023_max,p_nom_mw_2023_min,p_nom_mw_2023_mean,available,source_column,source_path,source_hash,notes
onwind,,,,False,Wind Installed Capacity,data/za_audit/raw/eskom_data_2023_full.csv,8c2220f114ba60d5ae823f5116368cc2a664ec625d70f4d52bdf26caffc29869,no numeric observations in 2023 window
solar,,,,False,PV Installed Capacity,data/za_audit/raw/eskom_data_2023_full.csv,8c2220f114ba60d5ae823f5116368cc2a664ec625d70f4d52bdf26caffc29869,no numeric observations in 2023 window
csp,,,,False,CSP Installed Capacity,data/za_audit/raw/eskom_data_2023_full.csv,8c2220f114ba60d5ae823f5116368cc2a664ec625d70f4d52bdf26caffc29869,no numeric observations in 2023 window
other_re,,,,False,Other RE Installed Capacity,data/za_audit/raw/eskom_data_2023_full.csv,8c2220f114ba60d5ae823f5116368cc2a664ec625d70f4d52bdf26caffc29869,no numeric observations in 2023 window
total_re,,,,False,Total RE Installed Capacity,data/za_audit/raw/eskom_data_2023_full.csv,8c2220f114ba60d5ae823f5116368cc2a664ec625d70f4d52bdf26caffc29869,no numeric observations in 2023 window
eskom_total,,,,False,Installed Eskom Capacity,data/za_audit/raw/eskom_data_2023_full.csv,8c2220f114ba60d5ae823f5116368cc2a664ec625d70f4d52bdf26caffc29869,no numeric observations in 2023 window
coal,,,,False,,data/za_audit/raw/eskom_data_2023_full.csv,8c2220f114ba60d5ae823f5116368cc2a664ec625d70f4d52bdf26caffc29869,Eskom hourly feed does not expose per-carrier installed capacity for this carrier; use Eskom Annual Report 2023 / IRP 2023 as anchor source for Module 12
nuclear,,,,False,,data/za_audit/raw/eskom_data_2023_full.csv,8c2220f114ba60d5ae823f5116368cc2a664ec625d70f4d52bdf26caffc29869,Eskom hourly feed does not expose per-carrier installed capacity for this carrier; use Eskom Annual Report 2023 / IRP 2023 as anchor source for Module 12
ocgt_diesel,,,,False,,data/za_audit/raw/eskom_data_2023_full.csv,8c2220f114ba60d5ae823f5116368cc2a664ec625d70f4d52bdf26caffc29869,Eskom hourly feed does not expose per-carrier installed capacity for this carrier; use Eskom Annual Report 2023 / IRP 2023 as anchor source for Module 12
ocgt_gas,,,,False,,data/za_audit/raw/eskom_data_2023_full.csv,8c2220f114ba60d5ae823f5116368cc2a664ec625d70f4d52bdf26caffc29869,Eskom hourly feed does not expose per-carrier installed capacity for this carrier; use Eskom Annual Report 2023 / IRP 2023 as anchor source for Module 12
sasol_coal,,,,False,,data/za_audit/raw/eskom_data_2023_full.csv,8c2220f114ba60d5ae823f5116368cc2a664ec625d70f4d52bdf26caffc29869,Eskom hourly feed does not expose per-carrier installed capacity for this carrier; use Eskom Annual Report 2023 / IRP 2023 as anchor source for Module 12
sasol_gas,,,,False,,data/za_audit/raw/eskom_data_2023_full.csv,8c2220f114ba60d5ae823f5116368cc2a664ec625d70f4d52bdf26caffc29869,Eskom hourly feed does not expose per-carrier installed capacity for this carrier; use Eskom Annual Report 2023 / IRP 2023 as anchor source for Module 12
hydro,,,,False,,data/za_audit/raw/eskom_data_2023_full.csv,8c2220f114ba60d5ae823f5116368cc2a664ec625d70f4d52bdf26caffc29869,Eskom hourly feed does not expose per-carrier installed capacity for this carrier; use Eskom Annual Report 2023 / IRP 2023 as anchor source for Module 12
ror,,,,False,,data/za_audit/raw/eskom_data_2023_full.csv,8c2220f114ba60d5ae823f5116368cc2a664ec625d70f4d52bdf26caffc29869,Eskom hourly feed does not expose per-carrier installed capacity for this carrier; use Eskom Annual Report 2023 / IRP 2023 as anchor source for Module 12
PHS,,,,False,,data/za_audit/raw/eskom_data_2023_full.csv,8c2220f114ba60d5ae823f5116368cc2a664ec625d70f4d52bdf26caffc29869,Eskom hourly feed does not expose per-carrier installed capacity for this carrier; use Eskom Annual Report 2023 / IRP 2023 as anchor source for Module 12
battery,,,,False,,data/za_audit/raw/eskom_data_2023_full.csv,8c2220f114ba60d5ae823f5116368cc2a664ec625d70f4d52bdf26caffc29869,Eskom hourly feed does not expose per-carrier installed capacity for this carrier; use Eskom Annual Report 2023 / IRP 2023 as anchor source for Module 12
biomass,,,,False,,data/za_audit/raw/eskom_data_2023_full.csv,8c2220f114ba60d5ae823f5116368cc2a664ec625d70f4d52bdf26caffc29869,Eskom hourly feed does not expose per-carrier installed capacity for this carrier; use Eskom Annual Report 2023 / IRP 2023 as anchor source for Module 12
