source_bus,target_bus,source_country,target_country,source_region,target_region,source_sub_network,annual_mwh,n_loads,distance_km,same_region_candidates,fallback,status
454,1288,ZA,ZA,Outeniqua,Outeniqua,1,72657.77377792276,1,25.847718217011337,64,False,transferred
524,727,ZA,ZA,Kimberley,Kimberley,2,3612.119046746865,1,6.910019202986338,73,False,transferred
533,1132,ZA,ZA,Pinetown,Pinetown,3,94510.9224572856,1,12.92647437737231,28,False,transferred
583,356,ZA,ZA,Gqeberha,Gqeberha,4,96500.07165765952,1,5.421517690780436,32,False,transferred
627,25,ZA,ZA,Carletonville,Carletonville,6,167322.95732001044,1,56.200508399328655,55,False,transferred
637,670,ZA,ZA,Outeniqua,Outeniqua,7,81875.0614307287,1,19.163805088227274,64,False,transferred
680,1025,ZA,ZA,Highveld South,Highveld South,8,174408.61267579102,1,24.47222232317754,52,False,transferred
681,247,ZA,ZA,Pinetown,Pinetown,9,85108.41869061576,1,5.855510408107081,28,False,transferred
814,833,ZA,ZA,Empangeni,Empangeni,10,84596.9945356075,1,7.478672917672814,21,False,transferred
831,1571,ZA,ZA,Pinetown,Pinetown,12,64931.47052350824,1,5.305967109090557,28,False,transferred
953,1140,ZA,ZA,Newcastle,Newcastle,17,128653.2611901545,1,7.494117984854291,21,False,transferred
977,978,ZA,ZA,Highveld South,Highveld South,18,63788.88648601979,1,12.692512260673645,52,False,transferred
1000,1155,ZA,ZA,Ladysmith,Ladysmith,20,120013.15140005277,1,5.9769369809700645,32,False,transferred
1014,1497,ZA,ZA,East London,East London,21,87184.69247407172,1,14.054074678980923,25,False,transferred
1020,1137,ZA,ZA,Newcastle,Newcastle,22,94192.83875579384,1,8.917130205324407,21,False,transferred
1022,1139,ZA,ZA,Newcastle,Newcastle,23,73814.87948367941,1,7.2477158963950075,21,False,transferred
1090,502,ZA,ZA,Lowveld,Lowveld,26,63964.47558885856,1,10.01186577268003,34,False,transferred
1124,483,ZA,ZA,Lowveld,Lowveld,28,83494.93134210315,1,8.274858764721722,34,False,transferred
1128,1137,ZA,ZA,Newcastle,Newcastle,29,88303.86113391446,1,7.057949590281588,21,False,transferred
1154,1080,ZA,ZA,Vaal,Vaal,30,58389.69969140453,1,13.16698800474131,20,False,transferred
1158,1213,ZA,ZA,Highveld South,Highveld South,31,59915.68041563061,1,7.978537978869136,52,False,transferred
1210,777,ZA,ZA,Phalaborwa,Phalaborwa,34,88252.59688449971,1,8.713957079809969,26,False,transferred
1215,821,ZA,ZA,Lowveld,Lowveld,35,54395.87704966827,1,8.62741720173743,34,False,transferred
1229,1529,ZA,ZA,Highveld South,Highveld South,36,107327.50743481053,1,9.182371538612335,52,False,transferred
1230,1228,ZA,ZA,Highveld South,Highveld South,37,76603.45864865492,1,10.25872861482578,52,False,transferred
1231,1027,ZA,ZA,Lowveld,Lowveld,38,69991.20896593631,1,9.419597205528378,34,False,transferred
1233,1165,ZA,ZA,Kalahari,Kalahari,39,5573.6829258624,1,8.523152429680248,11,False,transferred
1238,1089,ZA,ZA,Lephalale,Lephalale,40,82656.44849166315,1,25.207571817217186,14,False,transferred
1244,1404,ZA,ZA,Phalaborwa,Phalaborwa,41,76233.23621912967,1,11.027121398473348,26,False,transferred
1249,806,ZA,ZA,Pinetown,Pinetown,42,130223.46045219043,1,18.031790452021816,28,False,transferred
1257,326,ZA,ZA,Highveld South,Highveld South,43,71144.091866529,1,8.847498245990005,52,False,transferred
1261,1193,ZA,ZA,Welkom,Welkom,44,31051.832970091196,1,7.914738185150676,34,False,transferred
1263,1250,ZA,ZA,Vaal,Vaal,45,37340.94711288505,1,5.518868568067145,20,False,transferred
1274,1183,ZA,ZA,Welkom,Welkom,49,161936.85109413072,1,39.28878719480317,34,False,transferred
1277,656,ZA,ZA,Outeniqua,Outeniqua,50,170186.28194523623,1,45.540205616409864,64,False,transferred
1290,164,ZA,ZA,Hydra Central,Hydra Central,51,20715.96454180932,1,24.134733821779676,39,False,transferred
1300,838,ZA,ZA,Kimberley,Kimberley,53,2696.4247736921725,1,7.327431631025817,73,False,transferred
1303,1132,ZA,ZA,Pinetown,Pinetown,54,79390.93844047171,1,20.52754375012198,28,False,transferred
1322,477,ZA,ZA,Mthatha,Mthatha,55,167200.29427394416,1,18.10375089804981,25,False,transferred
1334,1182,ZA,ZA,Outeniqua,Outeniqua,56,46461.81064905069,1,8.629930216664237,64,False,transferred
1335,1182,ZA,ZA,Outeniqua,Outeniqua,57,106638.13587140484,1,9.504413224441302,64,False,transferred
1360,920,ZA,ZA,Outeniqua,Outeniqua,58,12078.332451764441,1,6.166281912310048,64,False,transferred
1373,296,ZA,ZA,Namaqualand,Namaqualand,59,47303.30172382542,1,25.791979922512724,10,False,transferred
1393,7,ZA,ZA,Peninsula,Peninsula,61,31106.51543598008,1,44.655681186155135,18,False,transferred
