bus0,bus1,n_lines,voltage_max_kv,osm_s_nom_total_mw,n_osm_lines,st_clair_n1_mw,ratio_osm_to_stclair,direction,notes
Bloemfontein,Carletonville,1,765,5512.0800,1,2468.3500,2.2331,osm_over,
Bloemfontein,Highveld South,1,400,492.0800,1,492.0800,1.0000,within_20pct,
Bloemfontein,Hydra Central,3,765,1787.4800,1,1645.6700,1.0862,within_20pct,
Bloemfontein,Kimberley,2,275,7355.4100,1,699.3200,10.5180,osm_over,
Bloemfontein,Welkom,5,400,23887.2800,1,4902.4800,4.8725,osm_over,
Carletonville,Highveld South,1,765,5512.0800,1,2266.5500,2.4319,osm_over,
Carletonville,Kalahari,1,400,1934.9400,1,662.6400,2.9200,osm_over,
Carletonville,Lephalale,2,400,1787.4800,1,698.6000,2.5587,osm_over,
Carletonville,Midrand,1,400,3557.0800,1,1251.6000,2.8420,osm_over,
Carletonville,Pretoria,1,275,465.0500,1,465.0500,1.0000,within_20pct,
Carletonville,Rustenburg,3,400,5418.2900,1,1651.6500,3.2805,osm_over,
Carletonville,West Rand,2,400,4552.4800,1,454.7700,10.0106,osm_over,
East London,Gqeberha,2,400,2426.5000,1,241.8300,10.0339,osm_over,
East London,Mthatha,1,400,2229.8800,1,764.5600,2.9165,osm_over,
East London,Welkom,1,400,1787.4800,1,455.6500,3.9229,osm_over,
Empangeni,Highveld South,2,765,3722.4200,1,1371.4000,2.7143,osm_over,
Empangeni,Newcastle,3,400,5460.7400,1,2118.8000,2.5773,osm_over,
Empangeni,Pinetown,2,275,1216.6000,1,600.3800,2.0264,osm_over,
Gqeberha,Hydra Central,2,400,3722.4200,1,801.0500,4.6469,osm_over,
Greater Komsberg,Outeniqua,3,400,5952.3000,1,1752.7000,3.3961,osm_over,
Greater Komsberg,Peninsula,1,400,7299.5500,1,856.7300,8.5203,osm_over,
Highveld South,Ladysmith,2,400,3574.9500,1,974.7900,3.6674,osm_over,
Highveld South,Middelburg,2,400,2709.1400,1,721.6500,3.7541,osm_over,
Highveld South,Newcastle,4,400,7444.8400,1,3486.8400,2.1351,osm_over,
Highveld South,Welkom,4,765,16386.5900,1,4136.4000,3.9616,osm_over,
Highveld South,West Rand,1,400,1119.5400,1,1119.5400,1.0000,within_20pct,
Highveld South,Witbank,7,400,17119.5600,1,9983.7900,1.7147,osm_over,
Hydra Central,Kimberley,1,400,7594.4900,1,753.2400,10.0825,osm_over,
Hydra Central,Outeniqua,3,400,5509.9000,1,1803.2200,3.0556,osm_over,
Hydra Central,Welkom,2,765,9087.0300,1,843.9800,10.7669,osm_over,
Johannesburg,Middelburg,1,400,1017.6900,1,1017.6900,1.0000,within_20pct,
Johannesburg,Midrand,3,400,4620.6300,1,1842.0000,2.5085,osm_over,
Johannesburg,Nigel,1,275,884.8000,1,644.7000,1.3724,osm_over,
Johannesburg,Polokwane,2,400,557.3300,1,557.3300,1.0000,within_20pct,
Johannesburg,Pretoria,8,400,1130.5800,1,6447.0000,0.1754,osm_under,
Johannesburg,Vaal,1,275,633.0100,1,633.0100,1.0000,within_20pct,
Johannesburg,Warmbad,1,275,461.3900,1,461.3900,1.0000,within_20pct,
Johannesburg,West Rand,1,275,393.2400,1,644.7000,0.6100,osm_under,
Johannesburg,Witbank,6,400,6170.3800,1,6170.3800,1.0000,within_20pct,
Kalahari,Kimberley,3,275,4921.1500,1,1336.3600,3.6825,osm_over,
Kimberley,Namaqualand,1,400,3722.4200,1,823.7700,4.5188,osm_over,
