canonical_name,carrier,fueltype_custom,technology_custom,p_nom_custom,p_nom_pm,delta_mw,bus_assigned,max_hours_pm,status,notes
Arnot,,Hard Coal,Steam Turbine,1050.0000,1050.0000,0.0000,403,,ok,
Arnot_2,,Hard Coal,Steam Turbine,1050.0000,1050.0000,0.0000,403,,ok,
Camden,,Hard Coal,Steam Turbine,570.0000,570.0000,0.0000,450,,ok,
Camden_2,,Hard Coal,Steam Turbine,911.0000,911.0000,0.0000,450,,ok,
Duvha,,Hard Coal,Steam Turbine,1150.0000,1150.0000,0.0000,270,,ok,
Duvha_2,,Hard Coal,Steam Turbine,1725.0000,1725.0000,0.0000,270,,ok,
Grootvlei,,Hard Coal,Steam Turbine,380.0000,380.0000,0.0000,55,,ok,
Grootvlei_2,,Hard Coal,Steam Turbine,190.0000,190.0000,0.0000,55,,ok,
Hendrina,,Hard Coal,Steam Turbine,760.0000,760.0000,0.0000,348,,ok,
Hendrina_2,,Hard Coal,Steam Turbine,338.0000,338.0000,0.0000,450,,ok,
Kelvin,,Hard Coal,Steam Turbine,160.0000,160.0000,0.0000,0,,ok,
Kendal,,Hard Coal,Steam Turbine,1920.0000,1920.0000,0.0000,273,,ok,
Kendal_2,,Hard Coal,Steam Turbine,1920.0000,1920.0000,0.0000,273,,ok,
Kriel,,Hard Coal,Steam Turbine,1215.0000,1215.0000,0.0000,14,,ok,
Kriel_2,,Hard Coal,Steam Turbine,1425.0000,1425.0000,0.0000,14,,ok,
Kusile,,Hard Coal,Steam Turbine,2880.0000,2880.0000,0.0000,828,,ok,
Kusile_2,,Hard Coal,Steam Turbine,720.0000,720.0000,0.0000,828,,ok,
Lethabo,,Hard Coal,Steam Turbine,1779.0000,1779.0000,0.0000,57,,ok,
Lethabo_2,,Hard Coal,Steam Turbine,1779.0000,1779.0000,0.0000,57,,ok,
Majuba,,Hard Coal,Steam Turbine,1818.0000,1818.0000,0.0000,353,,ok,
Majuba_2,,Hard Coal,Steam Turbine,1989.0000,1989.0000,0.0000,353,,ok,
Matimba,,Hard Coal,Steam Turbine,1845.0000,1845.0000,0.0000,183,,ok,
Matimba_2,,Hard Coal,Steam Turbine,1845.0000,1845.0000,0.0000,183,,ok,
Matla,,Hard Coal,Steam Turbine,1725.0000,1725.0000,0.0000,14,,ok,
Matla_2,,Hard Coal,Steam Turbine,1725.0000,1725.0000,0.0000,14,,ok,
Medupi,,Hard Coal,Steam Turbine,3600.0000,3600.0000,0.0000,1573,,ok,
Medupi_2,,Hard Coal,Steam Turbine,717.0000,717.0000,0.0000,1573,,ok,
Tutuka,,Hard Coal,Steam Turbine,1755.0000,1755.0000,0.0000,346,,ok,
Tutuka_2,,Hard Coal,Steam Turbine,1755.0000,1755.0000,0.0000,346,,ok,
Koeberg,,Nuclear,Steam Turbine,1854.0000,1854.0000,0.0000,625,,ok,
Ankerlig,,Oil,OCGT,1332.0000,1332.0000,0.0000,625,,ok,
Gourikwa,,Oil,OCGT,740.0000,740.0000,0.0000,168,,ok,
Acacia,,Oil,OCGT,171.0000,171.0000,0.0000,11,,ok,
PortRex,,Oil,OCGT,171.0000,171.0000,0.0000,34,,ok,
Gariep,,Hydro,Reservoir,360.0000,360.0000,0.0000,219,,ok,
Vanderkloof,,Hydro,Reservoir,240.0000,240.0000,0.0000,222,,ok,
Avon,,Oil,OCGT,670.0000,670.0000,0.0000,1330,,ok,
Dedisa,,Oil,OCGT,335.0000,335.0000,0.0000,311,,ok,
Kaxu Solar One,,Solar,CSP,100.0000,100.0000,0.0000,577,,ok,
Khi Solar One,,Solar,CSP,50.0000,50.0000,0.0000,563,,ok,
Bokpoort CSP project,,Solar,CSP,50.0000,50.0000,0.0000,65,,ok,
!XiNa Solar One,,Solar,CSP,100.0000,100.0000,0.0000,577,,ok,
Karoshoek Solar One,,Solar,CSP,100.0000,100.0000,0.0000,603,,ok,
Kathu Solar Park,,Solar,CSP,100.0000,100.0000,0.0000,586,,ok,
Neusberg Hydro Electrical Project,,Hydro,Reservoir,10.0000,10.0000,0.0000,423,,ok,
Stortemelk Hydro,,Hydro,Reservoir,4.2200,4.2200,0.0000,1453,,ok,
Kruisvallei Hydro,,Hydro,Reservoir,3.8000,3.8000,0.0000,167,,ok,
ColleyWobbles,,Hydro,Reservoir,65.0000,65.0000,0.0000,632,,ok,
ENERGY Joburg Landfill Gas to Electircity Project,,Bioenergy,Steam Turbine,7.5600,7.5600,0.0000,0,,ok,
Ngodwana Energy,,Bioenergy,Steam Turbine,25.0000,25.0000,0.0000,135,,ok,
Sappi,,Bioenergy,Steam Turbine,144.0000,144.0000,0.0000,628,,ok,
Drakensberg,,Hydro,Pumped Storage,1000.0000,1000.0000,0.0000,96,,ok,
Ingula,,Hydro,Pumped Storage,1324.0000,1324.0000,0.0000,1001,,ok,
Palmiet,,Hydro,Pumped Storage,400.0000,400.0000,0.0000,75,,ok,
Steenbras,,Hydro,Pumped Storage,180.0000,180.0000,0.0000,75,,ok,
Hex,,Battery,Battery Storage,20.0000,20.0000,0.0000,189,,ok,
Amakhala,,Wind,Onshore,137.9000,137.9000,0.0000,28,,ok,
Aurora,,Wind,Onshore,90.8000,90.8000,0.0000,668,,ok,
Chaba,,Wind,Onshore,20.6000,20.6000,0.0000,1012,,ok,
Cookhouse,,Wind,Onshore,135.0000,135.0000,0.0000,28,,ok,
Copperton,,Wind,Onshore,102.0000,102.0000,0.0000,584,,ok,
Dassieklip,,Wind,Onshore,26.1900,26.1900,0.0000,1333,,ok,
Dorper,,Wind,Onshore,97.0000,97.0000,0.0000,754,,ok,
Exelsior,,Wind,Onshore,31.9000,31.9000,0.0000,307,,ok,
Garob,,Wind,Onshore,135.9000,135.9000,0.0000,640,,ok,
Golden_valley,,Wind,Onshore,117.7200,117.7200,0.0000,630,,ok,
Gouda,,Wind,Onshore,135.2000,135.2000,0.0000,574,,ok,
Grassridge,,Wind,Onshore,59.8000,59.8000,0.0000,624,,ok,
Hopefield,,Wind,Onshore,65.4000,65.4000,0.0000,674,,ok,
