projectID,Fueltype,Technology,Capacity,lat,lon,DateIn,carrier_ppm
"{'GNPT': {'G100000500317'}, 'GPD': {'WRI1000137'}, 'GEO': {'GEO-3880'}}",Nuclear,Steam Turbine,970.0000,-33.6746,18.4321,1984.0000,nuclear
"{'GCPT': {'G100000100352', 'G100000100349', 'G100000100351', 'G100000100348', 'G100000100353', 'G100000100350'}, 'GPD': {'WRI1000117'}, 'GEO': {'GEO-2166'}}",Hard Coal,Steam Turbine,2352.0000,-25.9438,29.7920,1971.0000,coal
"{'GCPT': {'G100000101170', 'G100000101174', 'G100000101175', 'G100000101168', 'G100000101172', 'G100000101169', 'G100000101173', 'G100000101171'}, 'GPD': {'WRI1000118'}, 'GEO': {'GEO-2539'}}",Hard Coal,Steam Turbine,1600.0000,-26.6215,30.0901,1967.0000,coal
"{'GCPT': {'G100000102525', 'G100000102526', 'G100000102529', 'G100000102524', 'G100000102528', 'G100000102527'}, 'GPD': {'WRI1000119'}, 'GEO': {'GEO-2994'}}",Hard Coal,Steam Turbine,3600.0000,-25.9613,29.3397,1980.0000,coal
"{'GCPT': {'G100000103809', 'G100000103810', 'G100000103808', 'G100000103811', 'G100000103815', 'G100000103814', 'G100000103806', 'G100000103813', 'G100000103807', 'G100000103812'}, 'GPD': {'WRI1000124'}, 'GEO': {'GEO-3521'}}",Hard Coal,Steam Turbine,2000.0000,-26.0320,29.6016,1970.0000,coal
"{'GCPT': {'G100000105663', 'G100000105666', 'G100000105665', 'G100000105664', 'G100000105668', 'G100000105667'}, 'GPD': {'WRI1000125'}, 'GEO': {'GEO-3819'}}",Hard Coal,Steam Turbine,4116.0000,-26.0903,28.9688,1988.0000,coal
"{'GCPT': {'G100000103139', 'G100000103137', 'G100000103141', 'G100000103140', 'G100000103136', 'G100000103138'}, 'GPD': {'WRI1000123'}, 'GEO': {'GEO-3415'}}",Hard Coal,Steam Turbine,1190.0000,-26.7685,28.4978,1969.0000,coal
"{'GCPT': {'G100000106240', 'G100000106245', 'G100000106243', 'G100000106241', 'G100000106244', 'G100000106242'}, 'GPD': {'WRI1000128'}, 'GEO': {'GEO-4035'}}",Hard Coal,Steam Turbine,3708.0000,-26.7420,27.9769,1985.0000,coal
"{'GCPT': {'G100000106604', 'G100000106605', 'G100000106601', 'G100000106602', 'G100000106603', 'G100000106600'}, 'GPD': {'WRI1000129'}, 'GEO': {'GEO-4145'}}",Hard Coal,Steam Turbine,4143.0000,-27.1006,29.7710,1996.0000,coal
"{'GCPT': {'G100000106720', 'G100000106722', 'G100000106724', 'G100000106723', 'G100000106721', 'G100000106725'}, 'GPD': {'WRI1000130'}, 'GEO': {'GEO-4203'}}",Hard Coal,Steam Turbine,3990.0000,-23.6688,27.6108,1987.0000,coal
"{'GCPT': {'G100000106729', 'G100000106731', 'G100000106730', 'G100000106728', 'G100000106726', 'G100000106727'}, 'GPD': {'WRI1000131'}, 'GEO': {'GEO-4204'}}",Hard Coal,Steam Turbine,3600.0000,-26.2813,29.1415,1979.0000,coal
"{'GCPT': {'G100000113799', 'G100000113802', 'G100000113804', 'G100000113801', 'G100000113800', 'G100000113803'}, 'GPD': {'WRI1075861'}, 'GEO': {'GEO-4924'}}",Hard Coal,Steam Turbine,180.0000,-25.7584,28.1467,1952.0000,coal
"{'GCPT': {'G100000108623', 'G100000108622', 'G100000108626', 'G100000108624', 'G100000108625'}, 'GPD': {'WRI1075862'}, 'GEO': {'GEO-5164'}}",Hard Coal,Steam Turbine,300.0000,-25.5550,28.2376,1962.0000,coal
"{'GCPT': {'G100000110401', 'G100000110397', 'G100000110400', 'G100000110399', 'G100000110398', 'G100000110396'}, 'GPD': {'WRI1000135'}, 'GEO': {'GEO-5813'}}",Hard Coal,Steam Turbine,3654.0000,-26.7772,29.3524,1985.0000,coal
"{'GCPT': {'G100000105645', 'G100000105652', 'G100000105644', 'G100000105648', 'G100000105651', 'G100000105646', 'G100000105647', 'G100000105641', 'G100000105643', 'G100000105640', 'G100000105642', 'G100000105650', 'G100000105649'}, 'GPD': {'WRI1075860'}, 'GEO': {'GEO-3817'}}",Hard Coal,Steam Turbine,600.0000,-26.1158,28.1940,1957.0000,coal
"{'GCPT': {'G100000105966', 'G100000105969', 'G100000105967', 'G100000105964', 'G100000105968', 'G100000105965'}, 'GPD': {'WRI1000127'}, 'GEO': {'GEO-3911'}}",Hard Coal,Steam Turbine,3000.0000,-26.2539,29.1785,1976.0000,coal
"{'GSPT': {'G100001023931', 'G100000831293'}, 'GPD': {'WRI1026060'}}",Solar,PV,18.9000,-28.4091,21.2680,2014.0000,solar
"{'GCPT': {'G100000106043', 'G100000106044', 'G100000106039', 'G100000106042', 'G100000106041', 'G100000106040'}, 'GPD': {'WRI1061281'}}",Hard Coal,Steam Turbine,4800.0000,-25.9201,28.9249,2018.0000,coal
"{'GSPT': {'G100000800202', 'G100000800429'}, 'GPD': {'WKS0071109'}}",Solar,Csp,200.0000,-28.8849,19.5923,2015.0000,solar
"{'GHPT': {'G100000603352'}, 'GEO': {'GEO-46084'}}",Hydro,Pumped Storage,1332.0000,-28.2809,29.5880,2016.0000,PHS
"{'GHPT': {'G100001030331'}, 'GEO': {'GEO-2734'}}",Hydro,Run-Of-River,42.0000,-32.0011,28.5819,1985.0000,ror
"{'GNPT': {'G100000500318'}, 'GEO': {'GEO-3880'}}",Nuclear,Steam Turbine,970.0000,-33.6746,18.4321,1985.0000,nuclear
"{'GPD': {'WRI1061293'}, 'GEO': {'GEO-2869'}}",Wind,,5.2000,-33.3173,18.2586,2008.0000,onwind
"{'GSPT': {'G100000800109', 'G100000800111'}, 'GPD': {'WRI1026039', 'WRI1061289', 'WRI1061287'}}",Solar,PV,175.0000,-30.5924,24.0981,2014.0000,solar
"{'GWPT': {'G100000920675', 'G100000900092'}, 'GPD': {'WRI1026029'}}",Wind,Onshore,203.0000,-32.6903,26.1067,2016.0000,onwind
"{'GWPT': {'G100000920673', 'G100000900066'}, 'GPD': {'WRI1061294'}}",Wind,Onshore,54.0000,-33.9611,25.2462,2014.0000,onwind
"{'GWPT': {'G100000900048', 'G100000927426'}, 'GPD': {'WRI1061282'}}",Wind,Onshore,278.0000,-30.3919,19.5891,2017.0000,onwind
"{'GSPT': {'G100000800082'}, 'GPD': {'WRI1026035'}}",Solar,Csp,50.0000,-28.7333,21.9955,2016.0000,solar
"{'GSPT': {'G100000800266', 'G100001024015'}, 'GPD': {'WRI1026054'}}",Solar,PV,39.1000,-29.9673,22.3198,2013.0000,solar
"{'GSPT': {'G100000800267', 'G100000800265'}, 'GPD': {'WRI1026063'}}",Solar,PV,172.0000,-30.0288,22.3342,2016.0000,solar
"{'GSPT': {'G100000800211'}, 'GPD': {'WRI1026048'}}",Solar,Csp,50.0000,-28.5364,21.0782,2016.0000,solar
"{'GSPT': {'G100000800200'}, 'GPD': {'WKS0064975'}}",Solar,Csp,100.0000,-27.6095,23.0276,2018.0000,solar
"{'GSPT': {'G100000800198'}, 'GPD': {'WKS0061716'}}",Solar,PV,73.8000,-31.7212,23.1940,2014.0000,solar
{'GEO': {'GEO-2187'}},Hard Coal,,165.9487,-33.9482,18.5124,1962.0000,coal
{'GEO': {'GEO-2188'}},Oil,CCGT,52.8011,-33.9482,18.5124,1972.0000,ocgt_gas
{'GEO': {'GEO-178'}},Hard Coal,,94.9595,-29.1242,26.2254,,coal
{'GEO': {'GEO-3180'}},Hydro,Run-Of-River,2.2182,-31.6003,28.8171,,ror
{'GEO': {'GEO-3180'}},Hydro,Run-Of-River,2.2182,-31.6003,28.8171,,ror
{'GEO': {'GEO-45239'}},Hydro,,1.3361,-25.4514,30.9816,1987.0000,hydro
{'GEO': {'GEO-45239'}},Hydro,,1.3361,-25.4514,30.9816,1987.0000,hydro
{'GEO': {'GEO-3872'}},Wind,,,-33.6958,18.7256,2002.0000,onwind
{'GEO': {'GEO-3912'}},Hard Coal,,27.6581,-27.6670,27.2000,,coal
{'GEO': {'GEO-4449'}},Hydro,Run-Of-River,0.9612,-31.7874,27.6778,,ror
{'GEO': {'GEO-4449'}},Hydro,Run-Of-River,0.2958,-31.7874,27.6778,,ror
{'GEO': {'GEO-4449'}},Hydro,Run-Of-River,0.2958,-31.7874,27.6778,,ror
{'GEO': {'GEO-4631'}},Hard Coal,,230.4842,-26.2539,27.9238,1954.0000,coal
{'GEO': {'GEO-4925'}},Natural Gas,CCGT,21.7403,-25.7583,28.1467,,ocgt_gas
{'GEO': {'GEO-5207'}},Nuclear,,19.0053,-25.8016,27.9481,1965.0000,nuclear
{'GEO': {'GEO-5284'}},Hard Coal,,119.8518,-28.4541,26.7968,,coal
{'GEO': {'GEO-5285'}},Hard Coal,,553.1622,-26.5588,29.1503,1982.0000,coal
{'GEO': {'GEO-5304'}},Hydro,Run-Of-River,4.0668,-31.6849,28.8832,,ror
{'GEO': {'GEO-5304'}},Hydro,Run-Of-River,4.0668,-31.6849,28.8832,,ror
{'GEO': {'GEO-5616'}},Hard Coal,,221.2649,-33.8707,25.5972,1954.0000,coal
{'GPD': {'WRI1026015'}},Waste,,6.5000,-29.8130,30.9821,2008.0000,bioenergy
{'GPD': {'WRI1026027'}},Wind,,73.8000,-33.6760,25.6028,2010.0000,onwind
{'GPD': {'WRI1026020'}},Waste,,2.2200,-28.1190,30.3584,2016.0000,bioenergy
{'GPD': {'WRI1026031'}},Waste,,2.2000,-25.7250,27.6115,,bioenergy
{'GPD': {'WRI1026028'}},Bioenergy,,3.5000,-33.3150,26.4908,2013.0000,bioenergy
{'GPD': {'WRI1026032'}},Waste,,25.4700,-25.6620,27.8370,2013.0000,bioenergy
{'GPD': {'WRI1026018'}},Wind,,66.6000,-33.0930,18.3987,2014.0000,onwind
{'GPD': {'WRI1026019'}},Wind,,73.8000,-27.6020,22.9201,2014.0000,onwind
{'GPD': {'WRI1061277'}},Solar,,100.0000,-27.5954,22.9290,,solar
{'GPD': {'WRI1026047'}},Solar,,100.0000,-30.1600,24.1365,2015.0000,solar
{'GPD': {'WRI1061279'}},Wind,,30.0000,-31.8394,18.5638,2014.0000,onwind
{'GPD': {'WRI1026025'}},Bioenergy,,10.1000,-25.7720,31.0406,,bioenergy
{'GPD': {'WRI1061284'}},Wind,,144.0000,-30.5411,24.2600,2017.0000,onwind
{'GPD': {'WRI1026013'}},Waste,,2.0000,-29.8480,30.8359,,bioenergy
{'GPD': {'WRI1026017'}},Hydro,,12.5700,-28.7720,20.7431,,hydro
{'GPD': {'WRI1026012'}},Waste,,4.2000,-34.1450,22.1045,2007.0000,bioenergy
"{'GGPT': {'G100000414449', 'G100000414450', 'G100000414451', 'G100000408559'}}",Natural Gas,Steam Turbine,670.0000,-29.4189,31.1577,2016.0000,ocgt_gas
{'GGPT': {'G100000408558'}},Natural Gas,CCGT,335.0000,-33.7434,25.6728,2015.0000,ocgt_gas
{'GGPT': {'G100000407268'}},Natural Gas,CCGT,280.0000,-26.5601,29.1686,2011.0000,ocgt_gas
"{'GCPT': {'G100000106784', 'G100000106783', 'G100000106782', 'G100000106780', 'G100000106781', 'G100000106785'}}",Hard Coal,Steam Turbine,4768.8000,-23.7050,27.5638,2015.0000,coal
"{'GCPT': {'G100000108569', 'G100000108568'}}",Hard Coal,Steam Turbine,72.3000,-28.7621,31.9935,1984.0000,coal
{'GSPT': {'G100001024012'}},Solar,PV,2.5000,-32.6578,27.1136,,solar
{'GSPT': {'G100001023947'}},Solar,PV,2.6000,-29.1054,26.1741,2018.0000,solar
{'GSPT': {'G100000831278'}},Solar,PV,148.0000,-23.6161,30.3422,,solar
{'GSPT': {'G100001023929'}},Solar,PV,1.2000,-34.5156,20.0740,2020.0000,solar
{'GSPT': {'G100001023963'}},Solar,PV,1.0000,-22.8598,28.7042,2018.0000,solar
{'GSPT': {'G100001023964'}},Solar,PV,1.5000,-22.7466,28.1691,2018.0000,solar
{'GSPT': {'G100001024013'}},Solar,PV,1.1000,-32.2088,18.8141,2021.0000,solar
{'GSPT': {'G100001023985'}},Solar,PV,1.4000,-32.1421,18.9205,2023.0000,solar
{'GSPT': {'G100001023933'}},Solar,PV,19.5000,-32.2564,18.9244,2019.0000,solar
{'GSPT': {'G100001023939'}},Solar,PV,1.0000,-33.9074,18.5923,2017.0000,solar
{'GSPT': {'G100001023997'}},Solar,PV,1.3000,-33.7518,18.6060,2021.0000,solar
"{'GSPT': {'G100001023948', 'G100001024003'}}",Solar,PV,3.7000,-26.1606,28.1919,2021.0000,solar
{'GSPT': {'G100001023965'}},Solar,PV,1.7000,-26.0709,28.1837,2022.0000,solar
{'GSPT': {'G100001023967'}},Solar,PV,1.3000,-26.2845,28.4604,2022.0000,solar
{'GSPT': {'G100001023989'}},Solar,PV,1.1000,-26.1813,28.2437,2017.0000,solar
{'GSPT': {'G100001023998'}},Solar,PV,1.9000,-25.9607,28.2026,2021.0000,solar
{'GSPT': {'G100001024000'}},Solar,PV,1.7000,-26.3432,28.1828,2020.0000,solar
{'GSPT': {'G100001024002'}},Solar,PV,1.8000,-26.2582,28.4170,2017.0000,solar
{'GSPT': {'G100001023935'}},Solar,PV,1.2000,-26.1375,28.2700,2023.0000,solar
"{'GSPT': {'G100001023966', 'G100001023988'}}",Solar,PV,2.7000,-26.0002,28.1163,2017.0000,solar
"{'GSPT': {'G100001023992', 'G100001023991'}}",Solar,PV,3.8000,-25.8983,28.1702,2017.0000,solar
{'GSPT': {'G100001023930'}},Solar,PV,3.6000,-25.7287,28.3422,2017.0000,solar
{'GSPT': {'G100001024009'}},Solar,PV,1.2000,-33.2989,19.0362,,solar
{'GSPT': {'G100000800121'}},Solar,PV,86.0000,-28.5677,24.7023,2020.0000,solar
{'GSPT': {'G100001023996'}},Solar,PV,1.5000,-29.8139,30.9929,2018.0000,solar
{'GSPT': {'G100001023994'}},Solar,PV,1.2000,-33.0271,27.8962,2022.0000,solar
{'GSPT': {'G100001023993'}},Solar,PV,1.9000,-24.6066,31.0404,2021.0000,solar
{'GSPT': {'G100001024006'}},Solar,PV,1.1000,-25.1675,29.4041,2023.0000,solar
{'GSPT': {'G100001023942'}},Solar,PV,1.3000,-25.0709,29.1831,2017.0000,solar
{'GSPT': {'G100000831282'}},Solar,PV,9.9000,-26.4710,29.0701,2022.0000,solar
{'GSPT': {'G100001023944'}},Solar,PV,1.2000,-25.0546,29.3359,2017.0000,solar
{'GSPT': {'G100001023943'}},Solar,PV,1.0000,-25.0547,29.3984,,solar
{'GSPT': {'G100001023995'}},Solar,PV,1.6000,-29.7109,31.0554,2019.0000,solar
{'GSPT': {'G100001023954'}},Solar,PV,1.4000,-33.9782,22.4743,2022.0000,solar
{'GSPT': {'G100001023946'}},Solar,PV,1.0000,-34.0021,22.3869,2018.0000,solar
{'GSPT': {'G100001023957'}},Solar,PV,1.1000,-33.6083,22.2312,2022.0000,solar
{'GSPT': {'G100001023968'}},Solar,PV,1.3000,-34.0067,25.6716,2019.0000,solar
{'GSPT': {'G100001023949'}},Solar,PV,1.3000,-33.8369,25.5395,2020.0000,solar
{'GSPT': {'G100001023951'}},Solar,PV,1.1000,-33.9945,25.6028,2019.0000,solar
{'GSPT': {'G100000814201'}},Solar,PV,75.0000,-29.3662,24.4170,2025.0000,solar
"{'GSPT': {'G100001023980', 'G100001023981'}}",Solar,PV,28.4000,-24.7314,30.2103,,solar
{'GSPT': {'G100001023982'}},Solar,PV,2.2000,-23.8639,30.2934,2021.0000,solar
"{'GSPT': {'G100001021042', 'G100000814202', 'G100001021043'}}",Solar,PV,225.0000,-32.9583,19.9319,2025.0000,solar
{'GSPT': {'G100000814205'}},Solar,PV,75.0000,-27.7375,26.7750,2025.0000,solar
{'GSPT': {'G100000814206'}},Solar,PV,30.0000,-27.8657,26.7123,2023.0000,solar
{'GSPT': {'G100000800170'}},Solar,PV,137.0000,-27.9255,26.7054,2025.0000,solar
{'GSPT': {'G100001023953'}},Solar,PV,6.5000,-26.4303,28.0635,2022.0000,solar
{'GSPT': {'G100001024007'}},Solar,PV,2.2000,-26.1308,27.9740,2020.0000,solar
