carrier,capacity_mw_ppm_total,capacity_mw_rsa_total,delta_mw,n_plants_ppm_only,n_plants_rsa_only,n_plants_matched,notes
PHS,2892.00,2904.00,-12.00,1,1,3,
battery,0.00,20.00,-20.00,0,1,0,
bioenergy,56.19,0.00,56.19,8,0,0,
biomass,0.00,296.56,-296.56,0,4,0,
coal,50087.43,40696.00,9391.43,25,28,1,delta>500MW: +9391
csp,200.00,500.00,-300.00,1,5,1,
hydro,622.24,683.02,-60.78,3,3,3,
nuclear,1959.01,1854.00,105.01,3,1,0,
ocgt_diesel,2420.30,3419.00,-998.70,0,2,4,delta>500MW: -999
ocgt_gas,1359.54,0.00,1359.54,5,0,0,delta>500MW: +1360
onwind,5555.40,3506.78,2048.62,24,7,28,delta>500MW: +2049
ror,56.12,0.00,56.12,8,0,0,
solar,6420.20,2296.81,4123.39,112,12,33,delta>500MW: +4123
