bus0,bus1,n_lines,voltage_max_kv,voltage_min_kv,total_length_km,thermal_sum_mw,sil_sum_mw,st_clair_sum_mw,st_clair_n1_mw,n1_factor,st_clair_a,st_clair_b
Bloemfontein,Carletonville,1,765,765,234.74850737816706,5512.0,2280.0,3526.211330570799,2468.347931399559,0.7,53.736,-0.65
Bloemfontein,Highveld South,1,400,400,361.6973519453934,1788.0,602.0,702.9709244476795,492.07964711337564,0.7,53.736,-0.65
Bloemfontein,Hydra Central,3,765,400,997.8647729380117,9088.0,3484.0,4024.6815051054355,1645.67131130063,0.7,53.736,-0.65
Bloemfontein,Kimberley,2,275,275,179.34058524817578,1842.0,490.0,1416.8737969373074,699.3179618936305,0.7,53.736,-0.65
Bloemfontein,Welkom,5,400,275,458.2462806339197,8073.0,2653.0,6690.482942485277,4902.482942485277,0.7,53.736,-0.65
Carletonville,Highveld South,1,765,765,267.66273158036665,5512.0,2280.0,3237.934383413024,2266.5540683891168,0.7,53.736,-0.65
Carletonville,Kalahari,1,400,400,228.827295073117,1788.0,602.0,946.6332157602384,662.6432510321669,0.7,53.736,-0.65
Carletonville,Lephalale,2,400,400,706.7258876685604,3576.0,1204.0,1428.2659965731605,698.5969938580953,0.7,53.736,-0.65
Carletonville,Midrand,1,400,400,74.86260597679663,1788.0,602.0,1788.0,1251.6,0.7,53.736,-0.65
Carletonville,Pretoria,1,275,275,98.95278571087276,921.0,245.0,664.3595824110506,465.0517076877354,0.7,53.736,-0.65
Carletonville,Rustenburg,3,400,275,331.64263284106914,3630.0,1092.0,2721.4736928217503,1651.6463367845304,0.7,53.736,-0.65
Carletonville,West Rand,2,400,275,193.6961406263787,2709.0,847.0,2242.765260584163,454.7652605841633,0.7,53.736,-0.65
East London,Gqeberha,2,400,220,315.3048509967709,2280.0,724.0,1460.9340174066244,241.83114794872,0.7,53.736,-0.65
East London,Mthatha,1,400,400,183.62003896734836,1788.0,602.0,1092.2291867579481,764.5604307305637,0.7,53.736,-0.65
East London,Welkom,1,400,400,407.1383304168336,1788.0,602.0,650.922872298067,455.64601060864686,0.7,53.736,-0.65
