Supply_Are,Substation,Substati_1,Transforme,NoOfTrfrs,TrfrSizeMV,InstalledT,LightLoad,GxAtLightL,YearOfTrfr,UpgradeSta,NoOfTrfrs2,TrfrSize_1,Installe_1,REIPPPGenA,MVLimitLL2,HVLimitLL2,HVAreaLimi,CLNLimitLL,MVLimitMDL,HVLimitMDL,HVAreaLi_1,CLNLimitMD,Status
East London,Pembroke,Pembroke 132/66,132/66,2,90,180,13.0,0.0,-,-,2,160,320,-,326.6,200.0,200.0,550,326.6,2350.0,2350.0,2700,Existing
Phalaborwa,Senakangwedi B,Senakangwedi B 400/132,400/132,0,0,0,41.0,0.0,2022,Proposed,2,500,1000,-,1021.0,1300.0,1300.0,3600,1021,1250.0,1250.0,3600,Planned
Phalaborwa,Senakangwedi B,Senakangwedi B 400/275,400/275,0,0,0,41.0,0.0,2022,Proposed,1,800,800,-,825.0,850.0,850.0,3600,825,800.0,800.0,3600,Planned
Witbank,Vulcan,Vulcan 400/132,400/132,2,300,600,125.0,0.0,2022,Proposed,2,500,1000,-,1105.0,4400.0,4400.0,2350,1105,4075.0,4075.0,2550,Existing
Witbank,Vulcan,Vulcan 400/132,400/132,1,250,250,109.0,0.0,2022,Proposed,2,250,500,-,599.0,4400.0,4400.0,2350,1105,4075.0,4075.0,2550,Existing
Bloemfontein,Beta,Beta 765/400,765/400,2,2000,4000,0.0,0.0,-,-,2,2000,4000,-,3920.0,2600.0,2750.0,2600,3920,1475.0,1475.0,1500,Existing
Bloemfontein,Boundary,Boundary 275/132,275/132,2,250,500,0.0,0.0,-,-,2,250,500,228.15,490.0,1150.0,1150.0,2600,490,1500.0,1500.0,1500,Existing
Bloemfontein,Harvard,Harvard 275/132,275/132,2,500,1000,88.0,0.0,-,-,2,500,1000,64,1068.0,1050.0,1050.0,2600,1068,1350.0,1350.0,1500,Existing
Bloemfontein,Merapi,Merapi 275/132,275/132,2,250,500,42.0,0.0,-,-,2,250,500,-,532.0,800.0,800.0,2600,532,900.0,900.0,1500,Existing
Bloemfontein,Perseus,Perseus 400/275,400/275,2,400,800,0.0,0.0,-,-,2,400,800,60,784.0,1850.0,1850.0,2600,784,1750.0,1475.0,1500,Existing
Bloemfontein,Perseus,Perseus 400/275,400/275,1,800,800,0.0,0.0,-,-,1,800,800,-,784.0,1850.0,1850.0,2600,784,1750.0,1475.0,1500,Existing
Carltonville,Carmel,Carmel 275/132,275/132,2,500,1000,60.0,0.0,-,-,2,500,1000,-,1040.0,1000.0,1000.0,2650,1040,1100.0,1100.0,2650,Existing
Carltonville,Hermes,Hermes 132/88,132/88,3,180,540,67.0,0.0,-,-,3,180,540,-,596.2,596.2,596.2,2650,596.2,596.2,596.2,2650,Existing
Carltonville,Hermes,Hermes 400/132,400/132,3,500,1500,136.0,0.0,-,-,3,500,1500,-,1606.0,2400.0,2400.0,2650,1606,2400.0,2400.0,2650,Existing
Carltonville,Midas,Midas 400/132,400/132,2,500,1000,162.0,0.0,-,-,2,500,1000,-,1142.0,2550.0,2550.0,2650,1142,2500.0,2500.0,2650,Existing
Carltonville,Mookodi,Mookodi 400/132,400/132,2,500,1000,90.0,0.0,-,-,2,500,1000,75,1070.0,1525.0,1525.0,2650,1070,1450.0,1450.0,2650,Existing
Carltonville,Pluto,Pluto 400/275,400/275,2,750,1500,0.0,0.0,-,-,2,750,1500,-,1470.0,4000.0,4000.0,2650,1470,3750.0,3750.0,2650,Existing
Carltonville,Watershed,Watershed 275/132,275/132,0,0,0,0.0,0.0,2021,Approved,1,250,250,75,245.0,850.0,850.0,2650,245,800.0,800.0,2650,Existing
Carltonville,Watershed,Watershed 132/88,132/88,2,180,360,82.0,0.0,-,-,2,180,360,-,434.8,434.8,434.8,2650,434.8,434.8,434.8,2650,Existing
Carltonville,Watershed,Watershed 275/88,275/88,2,315,630,14.0,0.0,-,-,2,315,630,-,631.4,4000.0,4000.0,2650,631.4,3750.0,3750.0,2650,Existing
East London,Delphi,Delphi 400/132,400/132,2,120,240,32.0,48.5,2020,Proposed,3,120,360,97,336.3,1950.0,1950.0,550,336.3,925.0,925.0,1050,Existing
East London,Neptune,Neptune 400/132,400/132,2,500,1000,24.0,0.0,-,-,2,500,1000,-,1004.0,1600.0,1600.0,550,1004,1500.0,1600.0,1050,Existing
East London,Pembroke,Pembroke 220/66,220/66,0,0,0,13.0,0.0,2022,Approved,1,160,160,-,169.8,200.0,200.0,550,169.8,125.0,125.0,1050,Existing
East London,Pembroke,Pembroke 220/132,220/132,2,250,500,6.0,0.0,2022,Proposed,2,250,500,-,496.0,200.0,200.0,550,496,125.0,125.0,1050,Existing
East London,Pembroke,Pembroke 400/132,400/132,0,0,0,0.0,26.65,2022,Approved,1,500,500,53.3,463.35,200.0,200.0,550,463.35,250.0,250.0,1050,Existing
East London,Vuyani,Vuyani 400/132,400/132,2,250,500,61.0,0.0,-,-,2,250,500,-,551.0,1500.0,1500.0,550,551,1600.0,1600.0,1050,Existing
East Rand,Benburg,Benburg 275/132,275/132,3,250,750,96.0,0.0,-,-,3,250,750,-,831.0,950.0,950.0,4500,831,1150.0,1150.0,2050,Existing
