substation_name,n_incident_lines,voltage_max_kv,voltages_kv
PERSEUS,14,765,"275,400,765"
HYDRA,13,765,"220,400,765"
BETA,7,765,"400,765"
ALPHA,6,765,"400,765"
MAJUBA,6,765,"400,765"
UMFOLOZI,5,765,"400,765"
ZEUS,5,765,"400,765"
MERCURY,5,765,"400,765"
GAMMA,2,765,765
APOLLO,12,533,"275,400,533"
CAHORA BASSA,2,533,533
ZWAVELPOORT EE1,1,533,533
GLOCKNER,12,400,"275,400"
PLUTO,11,400,"275,400"
ARNOT,10,400,"275,400"
VENUS,10,400,"275,400"
MINERVA,10,400,"275,400"
MATLA,10,400,"275,400"
CAMDEN,9,400,"275,400"
WITKOP,8,400,"275,400"
MERSEY,8,400,"275,400"
POSEIDON,8,400,"220,400"
TUTUKA,8,400,400
SPITSKOP,8,400,"275,400"
PEGASUS,8,400,400
LETHABO,8,400,"275,400"
DUVHA,7,400,400
GROOTVLEI,7,400,400
ATHENE,7,400,"132,400"
MATIMBA,7,400,400
DROERIVIER,7,400,400
KOEBERG,6,400,"132,400"
HERA,6,400,"275,400"
INVUBU,6,400,"275,400"
MULDERSVLEI,6,400,400
CHIVELSTON,6,400,"275,400"
BIGHORN,5,400,"275,400"
ACACIA,5,400,"132,400"
VULCAN,5,400,400
KRIEL,5,400,400
MIDAS,5,400,400
BACCHUS,5,400,400
AGGENEIS,5,400,"220,400"
KENDAL,4,400,400
GRASSRIDGE,4,400,"220,400"
HENDRINA,4,400,400
SOL,4,400,400
ARIES,4,400,400
MERENSKY,4,400,"275,400"
PROTEUS,4,400,400
FERRUM,4,400,"275,400"
HECTOR,4,400,"275,400"
DINALEDI,4,400,400
ANKERLIG,4,400,400
MARANG,4,400,400
KAPPA,4,400,400
TABOR,3,400,"275,400"
ARIADNE,3,400,"132,400"
AURORA,3,400,400
DELPHI,3,400,400
STIKLAND,3,400,400
HERMES,3,400,400
LESEDING,3,400,400
MEDUPI,3,400,400
INGULA,3,400,400
PHOKOJE,2,400,400
HELIOS,2,400,400
JUNO,2,400,400
KRONOS,2,400,400
PHILIPPI,2,400,400
LEANDER,2,400,400
NORMANDIE,2,400,400
PALMIET,2,400,400
MAPUTO,2,400,400
EDWALENI,2,400,400
INCANDU,2,400,400
NEPTUNE,2,400,400
DRAKENSBERG,2,400,400
GOURIKWA,2,400,400
LULAMISA,2,400,400
DEDISA,2,400,400
KUSILE,2,400,400
EROS,2,400,"132,400"
VUYANI,2,400,400
MOOKODI,2,400,400
THESEUS,2,400,400
STERREKUS,2,400,400
THUSO,2,400,400
INSUKAMINI,1,400,400
KOKERBOOM,1,400,400
BORUTHO,1,400,400
KAPPA (A),1,400,400
AVON,6,275,275
ESSELEN,6,275,275
INGAGANE,6,275,275
SNOWDON,6,275,275
MARATHON,5,275,275
EIGER,5,275,275
TAUNUS,4,275,275
PRAIRIE,4,275,275
IMPALA,4,275,275
TRIDENT,4,275,275
BLOUKRANS,4,275,275
BOUNDARY,4,275,275
OLIEN,4,275,275
JUPITER,4,275,275
MAKALU,4,275,275
GEORGEDALE,4,275,275
NEVIS,4,275,275
ARARAT,4,275,275
KRUISPUNT,4,275,275
TUGELA,3,275,"132,275"
ACORNHOEK,3,275,275
KOMATIPOORT,3,275,"110,275"
EVEREST,3,275,275
OLYMPUS,3,275,275
HARVARD,3,275,275
RIGI,3,275,275
SCAFELL,3,275,275
KOOKFONTEIN,3,275,275
KOMATI,3,275,275
PELLY,2,275,275
WARMBAD,2,275,275
PRINCESS,2,275,275
WESTGATE,2,275,275
ETNA,2,275,275
SIMPLON,2,275,275
ROCKDALE,2,275,275
FOSKOR,2,275,275
DANSKRAAL,2,275,275
BRENNER,2,275,275
CRAIGHALL,2,275,275
SPENCER,2,275,275
FORDSBURG,2,275,275
ILLOVO,2,275,275
CROYDON,2,275,275
BLOEDRIVIER,2,275,275
RABBIT,2,275,275
PROSPECT,2,275,275
NJALA,2,275,275
KWAGGA,2,275,275
LEPINI,2,275,275
LOMOND,2,275,275
BENBURG,2,275,275
PIETERBOTH,2,275,275
BERNINA,2,275,275
SENAKANGWEDI,2,275,275
WATERSHED,2,275,275
VERDUN,2,275,275
CARMEL,2,275,275
KHANYAZWE,2,275,275
OTTAWA,2,275,275
LEWENSAAR,2,275,275
MERAPI,1,275,275
RASSONA GARCIA,1,275,275
DURBAN SOUTH,1,275,275
KLAARWATER,1,275,275
GARONA,1,275,275
RUIGTEVALLEI,5,220,"132,220"
ROODEKUIL,3,220,220
VAN DER KLOOF,2,220,220
GROMIS,2,220,220
NAMA,2,220,220
HARIB,2,220,220
ORANJEMOND,1,220,220
PAULPUTS,1,220,220
PEMBROKE,1,220,220
GARIEP,4,132,132
HILLSIDE,3,132,132
SORATA,1,132,132
CUROMANE,1,110,110
