check_id,category,status,value,recorded_at,notes
pypsa-earth-path,repository,pass,/Users/nylan/Documents/BSE/Reliable-Electrification-Planning-SA-Vault/6-codebases/repos/pypsa-earth,2026-05-08 11:22 CEST,"target repository exists"
pypsa-earth-branch,repository,pass,main,2026-05-08 11:22 CEST,"user confirmed current main as implementation target"
pypsa-earth-commit,repository,pass,dacf37804e8d78f5a9a4b97d08958e22a747a839,2026-05-08 11:22 CEST,"current HEAD"
pypsa-earth-dirty,repository,warn,"?? doc/za_pypsa_rsa_mining_plan.md",2026-05-08 11:22 CEST,"pre-existing untracked file left untouched"
pypsa-rsa-path,repository,pass,/Users/nylan/Documents/BSE/Reliable-Electrification-Planning-SA-Vault/6-codebases/repos/pypsa-rsa,2026-05-08 11:22 CEST,"reference repository exists"
pypsa-rsa-branch,repository,pass,master,2026-05-08 11:22 CEST,"reference branch"
pypsa-rsa-commit,repository,pass,89872c1ea703af3d8a3f198706d1ab7958f50a5f,2026-05-08 11:22 CEST,"current HEAD"
pypsa-rsa-dirty,repository,warn,"untracked .DS_Store/check.py/meso.py and scenario-local files",2026-05-08 11:22 CEST,"pre-existing untracked files left untouched"
plan-pin,repository,pass,e18bea540e0742ea978e00338df143fa01e78553,2026-05-08 11:22 CEST,"pin is ancestor of current PyPSA-Earth HEAD"
environment-manager,environment,pass,/opt/anaconda3/bin/conda,2026-05-08 11:22 CEST,"conda available"
python,environment,pass,3.11.13,2026-05-08 11:22 CEST,"/opt/anaconda3/envs/pypsa-earth/bin/python"
pypsa,environment,pass,0.30.3,2026-05-08 11:22 CEST,"installed package version"
atlite,environment,pass,0.4.1,2026-05-08 11:22 CEST,"installed package version"
powerplantmatching,environment,pass,0.8.0,2026-05-08 11:22 CEST,"installed package version"
linopy,environment,pass,0.5.5,2026-05-08 11:22 CEST,"installed package version"
gurobipy,environment,pass,12.0.3,2026-05-08 11:22 CEST,"installed Python package version"
numpy,environment,pass,1.26.4,2026-05-08 11:22 CEST,"installed package version"
pandas,environment,pass,2.3.1,2026-05-08 11:22 CEST,"installed package version"
geopandas,environment,pass,1.1.1,2026-05-08 11:22 CEST,"installed package version"
snakemake,environment,pass,7.32.4,2026-05-08 11:22 CEST,"installed package version"
gurobi-cli,solver,pass,"Gurobi Optimizer version 13.0.0 build v13.0.0rc1",2026-05-08 11:22 CEST,"CLI available at /usr/local/bin/gurobi_cl"
cds-api,weather,pass,~/.cdsapirc present,2026-05-08 11:22 CEST,"credential file detected; no live retrieval attempted"
cutout-2023-era5,weather,pass,cutouts/cutout-2023-era5.nc,2026-05-08 11:22 CEST,"sha256=0c6b22fa6b8a0a469cc24460df2014fdb9c041035985dfb3b1aa7d6608e19076"
load-options,config,pass,"ssp=ssp2-2.6; weather_year=2013; prediction_year=2030",2026-05-08 11:22 CEST,"set in configs/za/za_2023_fixed_validation.yaml using existing PyPSA-Earth demand dataset; Module 06 owns 2023 demand replacement"
overlay-composition,config,pass,"explicit --configfile configs/za/za_2023_fixed_validation.yaml",2026-05-08 11:22 CEST,"Snakefile/config.yaml/upstream defaults not modified for ZA-only settings"
yaml-parse,verification,pass,"configs/za/za_2023_fixed_validation.yaml; envs/za_environment.yaml",2026-05-08 11:28 CEST,"parsed successfully with Python yaml.safe_load"
gurobi-trivial-lp,verification,pass,"status=2; objective=1.0",2026-05-08 11:28 CEST,"gurobipy trivial LP solved in locked Python environment"
snakemake-default-dry-run,verification,pass,"snakemake --configfile configs/za/za_2023_fixed_validation.yaml --dry-run",2026-05-08 11:28 CEST,"passes; Snakefile default target is clean"
snakemake-solve-all-dry-run,verification,pass,"snakemake solve_all_networks --configfile configs/za/za_2023_fixed_validation.yaml --dry-run",2026-05-08 11:28 CEST,"passes; DAG contains 24 jobs and resolves through solve_all_networks"
